"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"38","PC","Kenton Koch","4","1:42.129","7:57.389","Green","Track","3.188","8.581","12.085","3.848","0.500","13.473","20.899","30.789","5.523","3.243","164.318"
"20","PC","Johnny Mowlem","4","1:41.589","8:01.849","Green","Track","3.129","8.587","11.996","3.813","0.495","13.624","20.775","30.533","5.441","3.196","165.978"
"67","GTLM","Ryan Briscoe","4","1:45.350","8:07.521","Green","Track","3.248","8.861","12.283","3.837","0.497","14.304","21.581","31.569","5.805","3.365","165.310"
"33","GTD","Jeroen Bleekemolen","4","1:47.402","8:11.205","Green","Track","3.245","9.008","12.406","3.833","0.493","14.428","22.224","32.387","5.983","3.395","166.651"
"25","GTLM","Dirk Werner","4","1:45.608","8:19.176","Green","Track","3.277","8.640","12.090","3.799","0.492","14.401","22.591","31.437","5.580","3.301","166.990"
"10","P","Max Angelelli","4","1:44.768","8:19.397","Green","Track","3.119","8.811","12.275","3.723","0.491","14.287","22.028","31.315","5.551","3.168","167.330"
"97","GTD","Markus Palttala","4","1:50.136","8:21.277","Green","Track","3.240","8.938","12.407","3.879","0.522","15.604","22.800","33.453","5.922","3.371","157.393"
"0","P","Sean Rayhall","4","1:44.239","8:24.720","Green","Track","3.161","8.671","12.306","3.837","0.500","14.029","21.340","31.268","5.898","3.229","164.318"
"100","GTLM","Lucas Luhr","3","2:13.368","8:28.434","Green","Track","14.472","10.941","14.623","4.097","0.534","15.730","25.850","37.841","5.909","3.371","153.856"
"62","GTLM","Toni Vilander","4","1:44.790","8:31.632","Green","Track","3.244","8.715","12.386","3.878","0.500","14.047","21.424","31.461","5.748","3.387","164.318"
"540","GTD","Andy Pilgrim","4","1:50.238","8:35.959","Green","Track","3.342","9.234","12.796","3.974","0.523","15.217","22.580","33.068","6.041","3.463","157.092"
"66","GTLM","Joey Hand","4","1:44.189","8:37.757","Green","Track","3.227","8.610","12.258","3.822","0.493","13.983","21.558","31.258","5.658","3.322","166.651"
"73","GTD","Jorg Bergmeister","4","2:00.788","8:39.608","Green","Track","14.649","9.424","12.958","3.989","0.512","14.924","22.384","32.617","5.913","3.418","160.467"
