"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"10","P","Ricky Taylor","48","1:39.114","1:29:22.078","Green","Track","3.034","8.062","11.506","3.624","0.478","13.810","20.677","29.431","5.347","3.145","171.881"
"90","P","Ryan Dalziel","48","1:39.285","1:29:22.422","Green","Track","3.034","8.656","11.491","3.621","0.466","13.266","20.697","29.695","5.264","3.095","176.307"
"55","P","Tristan Nunez","48","1:39.040","1:29:22.760","Green","Track","2.973","8.280","11.496","3.636","0.472","13.255","21.351","29.318","5.188","3.071","174.066"
"2","P","Johannes van Overbeek","48","1:38.416","1:29:26.922","Green","Track","2.989","8.044","11.508","3.688","0.474","12.351","19.955","30.376","5.815","3.216","173.331"
"6","GTD","Robin Liddell","45","1:47.747","1:29:27.174","Green","Track","3.281","8.782","12.825","3.969","0.510","14.160","22.147","32.583","6.023","3.467","161.096"
"23","GTD","Mario Farnbacher","45","1:47.951","1:29:27.648","Green","Track","3.277","9.108","12.488","3.917","0.503","14.290","22.443","32.680","5.842","3.403","163.338"
"60","P","Oswaldo Negri Jr.","48","1:37.350","1:29:27.812","Green","Track","2.994","8.019","11.593","3.703","0.478","12.463","19.692","29.868","5.411","3.129","171.881"
"9","GTD","Lawson Aschenbach","45","1:47.905","1:29:27.965","Green","Track","3.315","8.867","12.447","3.865","0.507","14.630","22.314","32.744","5.828","3.388","162.049"
"70","P","Ben Devlin","48","1:37.497","1:29:29.952","Green","Track","3.028","8.066","11.475","3.693","0.479","12.881","19.854","29.547","5.390","3.084","171.522"
"25","GTLM","Dirk Werner","46","1:42.824","1:29:36.095","Green","Track","3.195","8.570","12.208","3.873","0.501","13.500","21.163","30.943","5.558","3.313","163.990"
"0","P","Katherine Legge","46","1:41.011","1:29:37.414","Green","Track","3.004","8.531","12.423","3.632","0.464","13.722","20.633","30.064","5.452","3.086","177.067"
"67","GTLM","Richard Westbrook","46","1:43.070","1:29:38.588","Green","Track","3.185","8.744","12.236","3.825","0.493","13.469","21.044","31.232","5.550","3.292","166.651"
"31","P","Eric Curran","48","1:53.254","1:29:40.200","Green","Pit","3.007","8.120","11.498","3.629","0.467","12.559","20.027","30.808","7.004","16.135","175.930"
"85","PC","Misha Goikhberg","47","1:43.879","1:29:42.545","Green","Track","3.184","8.645","12.461","3.830","0.494","14.251","21.184","30.921","5.670","3.239","166.314"
"16","GTD","Spencer Pumpelly","45","1:47.362","1:29:42.550","Green","Track","3.251","9.105","12.916","3.906","0.498","14.024","21.990","32.402","5.867","3.403","164.978"
"96","GTD","Bret Curtis","45","1:48.655","1:29:46.279","Green","Track","3.225","9.114","12.530","3.911","0.503","14.460","22.850","32.822","5.871","3.369","163.338"
"63","GTD","Christina Nielsen","45","1:48.458","1:29:46.686","Green","Track","3.320","8.980","12.932","3.947","0.505","14.575","22.068","32.755","5.955","3.421","162.691"
"73","GTD","Matthew McMurry","45","1:48.097","1:29:47.048","Green","Track","3.315","8.938","12.447","3.844","0.496","14.804","22.152","32.622","6.045","3.434","165.643"
"22","GTD","Cooper MacNeil","45","1:47.398","1:29:48.778","Green","Track","3.279","8.940","12.564","3.921","0.504","14.420","22.042","32.464","5.855","3.409","163.014"
"33","GTD","Ben Keating","45","1:48.085","1:29:50.387","Green","Track","3.253","8.980","12.446","3.839","0.491","14.404","22.281","32.756","6.209","3.426","167.330"
"68","GTLM","Daniel Serra","46","1:46.654","1:29:50.532","Green","Track","3.220","8.847","12.509","3.911","0.502","13.600","21.996","32.438","6.196","3.435","163.664"
"44","GTD","John Potter","45","1:48.081","1:29:50.717","Green","Track","3.294","8.924","12.585","3.927","0.504","14.255","22.269","32.866","6.037","3.420","163.014"
"66","GTLM","Joey Hand","46","1:43.755","1:29:50.935","Green","Track","3.245","8.468","12.228","3.840","0.505","13.716","21.370","31.343","5.726","3.314","162.691"
