"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP1","SP4"
"5","P","Christian Fittipaldi","28","1:27.627","1:00:04.549","Green","Track","3.203","11.600","0.516","12.895","9.779","8.865","0.546","13.785","10.370","9.859","2.172","153.277","148.601"
"85","PC","Misha Goikhberg","22","1:34.382","1:00:05.639","Green","Track","3.894","12.708","0.570","14.295","10.781","9.359","0.631","14.305","10.539","10.689","2.291","138.756","128.584"
"23","GTD","Alex Riberas","21","1:38.145","1:00:08.946","Green","Track","3.844","12.777","0.567","14.258","10.762","10.582","0.769","15.213","10.972","11.477","2.455","139.490","105.509"
"97","GTD","Markus Palttala","19","1:32.764","1:00:14.330","Green","Track","3.348","12.709","0.565","13.847","10.349","9.861","0.579","13.939","10.453","10.300","2.399","139.984","140.132"
"54","PC","Colin Braun","27","1:30.257","1:00:21.729","Green","Track","3.583","12.170","0.541","13.680","10.131","9.163","0.561","13.410","10.333","10.220","2.259","146.194","144.628"
"96","GTD","Jens Klingmann","21","1:34.628","1:00:22.652","Green","Track","3.560","12.965","0.569","13.953","10.433","10.060","0.579","14.103","10.639","10.912","2.417","139.000","140.132"
"22","GTD","Cooper MacNeil","23","1:36.549","1:00:28.655","Green","Track","3.732","12.966","0.566","14.555","11.173","9.799","0.588","14.745","10.690","10.900","2.411","139.737","137.987"
"52","PC","Tom Kimber-Smith","25","1:35.937","1:00:29.052","Green","Track","3.761","13.003","0.568","14.797","11.036","9.408","0.690","15.227","10.480","10.460","2.289","139.245","117.589"
"8","PC","Renger Van Der Zande","21","1:34.310","1:00:31.019","Green","Track","3.834","12.887","0.546","14.287","10.905","9.240","0.571","14.520","10.380","10.493","2.300","144.855","142.095"
"16","GTD","Corey Lewis","16","1:40.388","1:00:38.719","Green","Track","3.966","13.279","0.570","14.911","11.433","9.924","0.630","15.514","11.060","11.966","2.503","138.756","128.788"
"20","PC","Tomy Drissi","22","1:39.333","1:00:39.743","Green","Track","4.005","12.875","0.545","14.640","11.354","9.496","0.644","15.438","11.206","11.879","2.390","145.121","125.988"
"63","GTD","Christina Nielsen","8","1:43.108","1:00:40.254","Green","Track","4.103","13.546","0.568","14.888","11.335","9.918","0.635","15.977","11.256","12.896","2.556","139.245","127.774"
"9","GTD","Matt Bell","24","1:44.188","1:00:40.439","Green","Track","9.514","14.516","0.577","13.921","11.294","10.219","0.589","14.200","10.647","11.168","2.494","137.073","137.753"
"44","GTD","John Potter","23","1:35.718","1:00:42.125","Green","Track","3.718","12.991","0.571","14.209","11.003","9.851","0.579","14.265","10.588","11.006","2.448","138.513","140.132"
"27","GTD","Lawrence DeGeorge","23","3:33.904","1:00:56.811","Green","Track","10.066","18.885","0.838","18.493","12.915","10.958","0.681","104.208","13.173","14.594","2.919","94.381","119.143"
"38","PC","James French","23","1:49.723","1:01:00.965","Green","Track","9.720","16.459","0.622","16.152","11.694","9.482","0.670","15.430","11.378","11.217","2.306","127.156","121.099"
"90","P","Marc Goossens","26","1:27.174","1:01:14.007","Green","Track","3.109","11.585","0.517","12.847","9.782","8.965","0.537","12.764","10.125","10.243","2.389","152.980","151.092"
"88","PC","Mark Kvamme","20","4:03.339","1:01:15.764","Green","Track","12.162","20.259","0.748","17.295","12.542","10.047","0.618","133.996","13.248","13.994","2.835","105.737","131.289"
"33","GTD","Jeroen Bleekemolen","21","1:32.944","1:01:15.704","Green","Track","3.397","12.915","0.561","13.895","10.603","9.656","0.576","13.762","10.336","10.291","2.381","140.982","140.862"
"73","GTD","Jorg Bergmeister","21","4:10.279","1:01:16.893","Green","Pit","9.878","15.163","0.573","15.682","11.070","9.943","0.580","14.863","11.145","11.454","7.073","138.030","139.890"
"31","P","Eric Curran","29","1:28.845","1:01:22.042","Green","Track","3.220","11.536","0.511","13.559","10.873","9.245","0.571","13.501","9.982","9.658","2.170","154.777","142.095"
"10","P","Jordan Taylor","22","1:39.148","1:01:22.688","Green","Pit","3.145","11.993","0.529","13.210","10.020","8.958","0.535","12.760","9.789","11.433","5.385","149.510","151.657"
"55","P","Tristan Nunez","21","1:29.754","1:01:25.599","Green","Track","3.404","11.835","0.525","13.348","10.085","9.031","0.539","13.935","10.798","9.942","2.192","150.649","150.531"
"60","P","Katherine Legge","21","1:39.908","1:01:27.641","Green","Track","4.080","13.246","0.540","15.282","11.761","10.067","0.618","15.009","11.528","10.955","2.290","146.465","131.289"
"48","GTD","Madison Snow","24","1:33.855","1:01:28.865","Green","Track","3.573","12.838","0.563","14.119","10.599","9.789","0.571","13.896","10.413","10.667","2.399","140.481","142.095"
"5","P","Christian Fittipaldi","29","1:30.597","1:01:35.146","Green","Track","3.187","11.371","0.513","12.702","9.570","8.890","0.530","14.533","11.858","11.251","2.163","154.173","153.087"
"85","PC","Misha Goikhberg","23","1:32.259","1:01:37.898","Green","Track","3.682","12.503","0.543","13.782","10.238","9.280","0.636","14.227","10.562","10.099","2.309","145.655","127.573"
"23","GTD","Alex Riberas","22","1:33.967","1:01:42.913","Green","Track","3.656","12.879","0.565","14.078","10.789","9.775","0.574","13.811","10.388","10.592","2.418","139.984","141.353"
"97","GTD","Markus Palttala","20","1:32.253","1:01:46.583","Green","Track","3.285","13.004","0.564","13.679","10.390","9.860","0.578","13.424","10.395","10.293","2.376","140.232","140.374"
"54","PC","Colin Braun","28","1:28.526","1:01:50.255","Green","Track","3.392","11.995","0.540","13.359","10.012","9.172","0.550","12.957","10.149","9.955","2.250","146.465","147.521"
"96","GTD","Jens Klingmann","22","1:33.458","1:01:56.110","Green","Track","3.402","12.844","0.565","13.896","10.521","9.886","0.574","13.897","10.494","10.483","2.429","139.984","141.353"
"52","PC","Tom Kimber-Smith","26","1:31.507","1:02:00.559","Green","Track","3.543","12.691","0.545","13.979","10.664","9.252","0.560","13.694","10.142","9.961","2.285","145.121","144.886"
"8","PC","Renger Van Der Zande","22","1:33.174","1:02:04.193","Green","Track","3.372","0.000","0.000","13.624","11.021","9.182","0.566","13.516","10.388","11.917","2.335","0.000","143.350"
"22","GTD","Cooper MacNeil","24","1:36.479","1:02:05.134","Green","Track","3.628","12.949","0.566","14.692","11.179","9.856","0.593","14.374","10.702","11.093","2.416","139.737","136.824"
"16","GTD","Corey Lewis","17","1:37.613","1:02:16.332","Green","Track","3.819","13.168","0.571","14.849","11.182","9.922","0.584","14.258","10.855","11.406","2.474","138.513","138.932"
"20","PC","Tomy Drissi","23","1:37.450","1:02:17.193","Green","Track","4.137","12.896","0.546","14.643","11.387","9.460","0.628","14.976","10.972","10.958","2.323","144.855","129.198"
"9","GTD","Matt Bell","25","1:37.296","1:02:17.735","Green","Track","3.845","13.198","0.571","14.210","11.309","9.919","0.582","14.652","11.143","10.880","2.472","138.513","139.410"
"63","GTD","Christina Nielsen","9","1:39.219","1:02:19.473","Green","Track","4.451","13.624","0.567","14.906","11.142","9.827","0.583","14.701","10.985","11.315","2.457","139.490","139.170"
"44","GTD","John Potter","24","1:38.079","1:02:20.204","Green","Track","3.805","12.911","0.570","14.793","11.287","9.808","0.583","14.803","10.636","11.349","2.428","138.756","139.170"
"38","PC","James French","24","1:32.832","1:02:33.797","Green","Track","3.883","12.450","0.544","13.956","10.487","9.222","0.590","13.982","10.592","10.509","2.264","145.388","137.519"
"33","GTD","Jeroen Bleekemolen","22","1:33.329","1:02:49.033","Green","Track","3.438","12.777","0.558","13.697","10.532","9.629","0.566","13.403","10.433","11.502","2.411","141.740","143.350"
"31","P","Eric Curran","30","1:28.442","1:02:50.484","Green","Track","3.178","11.409","0.510","13.935","10.190","8.896","0.528","13.006","9.696","10.557","2.366","155.080","153.667"
"90","P","Marc Goossens","27","1:38.178","1:02:52.185","Green","Pit","3.100","11.593","0.518","13.038","9.778","9.008","0.541","13.328","9.974","9.530","6.334","152.685","149.975"
"27","GTD","Lawrence DeGeorge","24","1:56.429","1:02:53.240","Green","Track","5.183","16.282","0.746","17.417","12.414","10.657","0.643","17.171","12.132","14.308","3.259","106.020","126.184"
"55","P","Tristan Nunez","22","1:28.747","1:02:54.346","Green","Track","3.360","12.089","0.527","13.453","9.984","8.979","0.547","13.615","10.049","9.739","2.188","150.078","148.330"
"73","GTD","Jorg Bergmeister","22","1:43.884","1:03:00.777","Green","Track","9.597","14.827","0.667","14.871","10.919","9.775","0.572","13.873","10.874","11.087","2.408","118.577","141.847"
"5","P","Christian Fittipaldi","30","1:27.083","1:03:02.229","Green","Track","3.219","11.463","0.516","12.807","9.818","8.892","0.538","12.917","10.407","10.227","2.197","153.277","150.811"
"88","PC","Mark Kvamme","21","1:47.708","1:03:03.472","Green","Track","4.443","14.605","0.659","16.549","11.749","9.825","0.638","16.186","11.881","13.256","2.537","120.017","127.173"
"48","GTD","Madison Snow","25","1:34.933","1:03:03.798","Green","Track","3.494","12.687","0.562","13.987","10.825","9.796","0.570","13.666","11.105","11.375","2.420","140.731","142.344"
"60","P","Katherine Legge","22","1:36.638","1:03:04.279","Green","Track","3.902","12.569","0.533","14.401","10.959","9.153","0.537","14.370","11.193","12.217","2.270","148.388","151.092"
"85","PC","Misha Goikhberg","24","1:31.476","1:03:09.374","Green","Track","3.835","12.330","0.542","13.614","10.306","9.280","0.601","14.028","10.191","10.024","2.279","145.924","135.002"
"23","GTD","Alex Riberas","23","1:32.811","1:03:15.724","Green","Track","3.513","12.515","0.564","13.972","10.680","9.831","0.576","13.723","10.344","10.263","2.407","140.232","140.862"
"54","PC","Colin Braun","29","1:27.805","1:03:18.060","Green","Track","3.250","11.930","0.540","13.253","9.809","9.144","0.547","13.088","10.073","9.762","2.235","146.465","148.330"
"97","GTD","Markus Palttala","21","1:32.405","1:03:18.988","Green","Track","3.320","12.764","0.566","13.842","10.350","9.849","0.574","13.439","10.462","10.471","2.378","139.737","141.353"
"96","GTD","Jens Klingmann","23","1:32.741","1:03:28.851","Green","Track","3.294","12.764","0.566","13.921","10.430","9.835","0.577","13.583","10.616","10.321","2.402","139.737","140.618"
"52","PC","Tom Kimber-Smith","27","1:28.890","1:03:29.449","Green","Track","3.293","12.194","0.540","13.579","10.023","9.206","0.548","13.300","9.985","9.790","2.266","146.465","148.059"
"8","PC","Renger Van Der Zande","23","1:29.938","1:03:34.131","Green","Track","3.339","12.304","0.541","13.412","10.200","9.220","0.548","13.194","10.144","10.450","2.328","146.194","148.059"
"22","GTD","Cooper MacNeil","25","1:47.133","1:03:52.267","Green","Pit","3.619","12.751","0.562","14.255","10.846","9.806","0.573","14.058","10.537","11.207","6.238","140.731","141.599"
"16","GTD","Corey Lewis","18","1:37.373","1:03:53.705","Green","Track","3.623","13.069","0.569","14.839","11.047","10.066","0.678","14.636","10.646","11.177","2.462","139.000","119.670"
"20","PC","Tomy Drissi","24","1:37.044","1:03:54.237","Green","Track","3.878","12.758","0.548","14.609","11.074","9.693","0.706","15.242","10.768","10.956","2.328","144.326","114.924"
