"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"20","PC","Matthew McMurry","2","2:05.149","55:10.416","Green","Track","1.396","19.970","24.173","9.708","9.551","0.442","4.515","0.406","23.011","23.835","8.142","151.815","165.277"
"88","PC","Mark Kvamme","2","2:09.616","55:13.517","Green","Track","1.424","20.646","24.699","10.367","9.548","0.444","4.519","0.443","23.874","24.808","8.844","151.131","151.472"
"26","PC","Don Yount","2","2:07.957","55:20.977","Green","Track","1.408","20.882","24.636","9.681","9.462","0.442","4.525","0.464","23.966","24.277","8.214","151.815","144.617"
"7","PC","Jose Gutierrez","3","2:02.661","56:29.089","Green","Track","1.405","19.469","23.145","9.241","9.420","0.446","4.551","0.411","22.622","23.756","8.195","150.454","163.266"
"8","PC","Alex Popow","3","2:03.174","56:30.526","Green","Track","1.409","19.534","23.267","9.282","9.348","0.443","4.527","0.409","22.778","23.972","8.205","151.472","164.064"
"38","PC","Nicholas Boulle","3","2:04.297","56:43.648","Green","Track","1.401","19.758","23.723","9.357","9.409","0.443","4.516","0.405","23.044","24.039","8.202","151.472","165.685"
"52","PC","Robert Alon","3","2:02.708","56:48.391","Green","Track","1.401","19.351","23.183","9.233","9.256","0.442","4.507","0.407","23.144","23.638","8.146","151.815","164.870"
"85","PC","Misha Goikhberg","3","2:04.224","57:01.652","Green","Track","1.410","19.832","23.316","9.363","9.383","0.446","4.540","0.417","23.070","24.204","8.243","150.454","160.917"
"20","PC","Matthew McMurry","3","2:02.600","57:13.016","Green","Track","1.395","19.446","23.444","9.296","9.323","0.440","4.492","0.405","22.824","23.445","8.090","152.505","165.685"
"88","PC","Mark Kvamme","3","2:08.582","57:22.099","Green","Track","1.431","20.516","24.064","9.888","9.657","0.451","4.581","0.421","24.330","24.957","8.286","148.786","159.388"
"26","PC","Don Yount","3","2:06.594","57:27.571","Green","Track","1.406","20.077","23.942","9.593","9.409","0.445","4.594","0.535","24.038","24.323","8.232","150.792","125.425"
"7","PC","Jose Gutierrez","4","2:02.319","58:31.408","Green","Track","1.407","19.381","23.095","9.242","9.368","0.446","4.549","0.411","22.583","23.579","8.258","150.454","163.266"
"8","PC","Alex Popow","4","2:02.274","58:32.800","Green","Track","1.402","19.471","23.049","9.221","9.283","0.442","4.523","0.408","22.612","23.558","8.305","151.815","164.466"
"38","PC","Nicholas Boulle","4","2:03.995","58:47.643","Green","Track","1.400","19.716","23.461","9.381","9.376","0.445","4.517","0.412","23.047","24.089","8.151","150.792","162.870"
"52","PC","Robert Alon","4","2:02.360","58:50.751","Green","Track","1.399","19.316","23.151","9.285","9.241","0.441","4.505","0.409","22.850","23.642","8.121","152.159","164.064"
"20","PC","Matthew McMurry","4","2:02.305","59:15.321","Green","Track","1.391","19.380","23.268","9.407","9.366","0.440","4.511","0.407","22.491","23.562","8.082","152.505","164.870"
"88","PC","Mark Kvamme","4","2:10.879","59:32.978","Green","Track","1.410","20.625","24.580","10.326","9.507","0.446","4.551","0.415","25.327","25.394","8.298","150.454","161.692"
"26","PC","Don Yount","4","2:05.971","59:33.542","Green","Track","1.404","19.935","24.210","9.611","9.401","0.441","4.514","0.413","23.185","24.485","8.372","152.159","162.475"
