"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"68","GTLM","Daniel Serra","4","2:00.769","11:18.268","Green","Pit","1.821","0.511","4.258","25.964","19.926","14.495","10.188","43.606","129.870"
"70","P","Joel Miller","3","1:55.723","11:32.444","Green","Pit","1.601","0.463","4.021","25.017","18.985","13.813","9.091","42.732","143.334"
"60","P","Oswaldo Negri","5","1:20.685","11:32.851","Green","Track","1.595","0.457","3.718","24.167","18.809","13.905","7.835","10.199","145.216"
"5","P","Joao Barbosa","4","1:22.772","11:34.655","Green","Track","1.631","0.467","3.871","24.847","18.977","14.298","8.285","10.396","142.106"
"31","P","Eric Curran","5","1:22.003","11:38.596","Green","Track","1.622","0.466","3.887","24.365","18.784","14.455","8.108","10.316","142.411"
"66","GTLM","Joey Hand","3","1:25.455","11:39.896","Green","Track","1.738","0.496","4.070","25.314","19.617","14.983","8.436","10.801","133.798"
"90","P","Marc Goossens","4","1:22.797","11:41.506","Green","Track","1.617","0.463","3.904","25.501","18.763","13.907","8.247","10.395","143.334"
"10","P","Jordan Taylor","5","1:23.642","11:43.595","Green","Track","1.619","0.463","3.857","25.375","19.081","14.083","8.757","10.407","143.334"
"0","P","Sean Rayhall","5","1:21.926","11:44.327","Green","Track","1.587","0.458","3.776","24.366","18.730","14.220","8.532","10.257","144.899"
"100","GTLM","John Edwards","5","1:27.485","11:45.418","Green","Track","1.740","0.493","4.076","26.196","20.038","14.848","9.142","10.952","134.612"
"4","GTLM","Oliver Gavin","5","1:24.629","11:46.950","Green","Track","1.760","0.500","4.112","25.415","19.642","14.068","8.433","10.699","132.727"
"912","GTLM","Frederic Makowiecki","5","1:26.439","11:48.993","Green","Track","1.725","0.489","4.297","25.949","19.768","14.651","8.891","10.669","135.713"
"3","GTLM","Antonio Garcia","5","1:24.727","11:51.454","Green","Track","1.761","0.501","4.073","25.287","19.540","14.269","8.465","10.831","132.462"
"25","GTLM","Bill Auberlen","5","1:26.052","12:05.587","Green","Track","1.740","0.493","3.988","25.898","19.741","14.610","8.557","11.025","134.612"
"55","P","Tristan Nunez","3","1:40.738","12:08.113","Green","Track","2.414","0.000","0.000","28.465","20.744","15.956","9.283","12.425","0.000"
"911","GTLM","Nick Tandy","4","1:58.801","12:08.426","Green","Pit","1.742","0.496","4.026","25.524","19.567","14.829","10.698","41.919","133.798"
"67","GTLM","Richard Westbrook","5","1:24.911","12:12.435","Green","Track","1.741","0.496","4.090","25.477","19.684","14.353","8.394","10.676","133.798"
"68","GTLM","Alessandro Pier Guidi","5","1:31.278","12:49.546","Green","Track","2.419","0.000","0.000","25.982","19.673","14.483","8.573","10.700","0.000"
"62","GTLM","Toni Vilander","5","2:03.247","12:51.612","Green","Pit","1.741","0.496","4.033","25.440","19.598","14.283","10.184","47.472","133.798"
"60","P","Oswaldo Negri","6","1:19.834","12:52.685","Green","Track","1.608","0.462","3.814","24.013","18.095","13.795","7.831","10.216","143.644"
"5","P","Joao Barbosa","5","1:21.022","12:55.677","Green","Track","1.622","0.464","3.820","24.037","18.490","13.887","8.201","10.501","143.025"
"70","P","Joel Miller","4","1:28.165","13:00.609","Green","Track","2.427","3.365","5.621","25.529","19.003","13.880","8.073","10.267","19.722"
"66","GTLM","Joey Hand","4","1:24.696","13:04.592","Green","Track","1.730","0.493","4.117","25.237","19.628","14.337","8.479","10.675","134.612"
"90","P","Marc Goossens","5","1:23.139","13:04.645","Green","Track","1.619","0.464","3.830","24.658","19.227","14.448","8.501","10.392","143.025"
"10","P","Jordan Taylor","6","1:21.589","13:05.184","Green","Track","1.620","0.464","3.819","24.417","18.561","13.984","8.244","10.480","143.025"
