"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"540","GTD","Andy Pilgrim","118","55.008","2:01:51.916","Green","Track","0.478","0.850","10.369","10.977","14.235","5.636","9.628","2.835","145.136"
"33","GTD","Jeroen Bleekemolen","119","55.077","2:01:52.281","Green","Track","0.472","0.839","10.475","11.086","14.094","5.649","9.651","2.811","146.981"
"23","GTD","Alex Riberas","119","54.777","2:01:52.623","Green","Track","0.475","0.845","10.254","11.087","14.089","5.624","9.575","2.828","146.053"
"62","GTLM","Giancarlo Fisichella","123","54.131","2:01:52.703","Green","Track","0.464","0.829","10.159","11.228","14.058","5.472","9.191","2.730","149.515"
"6","GTD","Robin Liddell","119","55.946","2:01:54.085","Green","Track","0.474","0.844","10.227","11.349","15.182","5.557","9.492","2.821","146.361"
"4","GTLM","Oliver Gavin","123","55.451","2:01:54.166","Green","Track","0.460","0.824","10.437","10.984","15.069","5.599","9.326","2.752","150.815"
"67","GTLM","Ryan Briscoe","123","54.800","2:01:54.429","Green","Track","0.455","0.811","10.063","11.230","14.520","5.742","9.263","2.716","152.473"
"44","GTD","Andy Lally","119","56.428","2:01:54.992","Green","Track","0.484","0.844","10.760","11.258","14.747","5.956","9.581","2.798","143.337"
"66","GTLM","Dirk Mueller","123","55.074","2:01:55.437","Green","Track","0.463","0.824","10.015","10.948","14.667","5.848","9.530","2.779","149.838"
"48","GTD","Bryan Sellers","119","57.396","2:01:55.794","Green","Track","0.469","0.832","10.730","11.730","14.946","5.901","9.999","2.789","147.921"
"8","PC","Renger van der Zande","124","52.925","2:01:55.823","Green","Track","0.450","0.801","10.208","10.671","13.540","5.396","9.183","2.676","154.167"
"3","GTLM","Antonio Garcia","123","54.948","2:01:55.933","Green","Track","0.467","0.830","10.010","10.631","14.668","5.668","9.881","2.793","148.555"
"16","GTD","Spencer Pumpelly","119","57.065","2:01:56.541","Green","Track","0.468","0.831","10.522","11.532","15.373","5.663","9.867","2.809","148.237"
"9","GTD","Lawson Aschenbach","119","55.838","2:01:56.755","Green","Track","0.470","0.839","10.419","11.038","14.965","5.703","9.601","2.803","147.606"
"85","PC","Misha Goikhberg","88","54.371","2:01:57.547","Green","Track","0.446","0.798","10.565","10.965","14.124","5.461","9.362","2.650","155.549"
"73","GTD","Jorg Bergmeister","119","55.091","2:01:57.659","Green","Track","0.468","0.835","10.299","11.235","14.268","5.600","9.585","2.801","148.237"
"911","GTLM","Nick Tandy","115","54.680","2:01:58.721","Green","Track","0.463","0.825","10.001","10.872","14.961","5.560","9.247","2.751","149.838"
"52","PC","Tom Kimber-Smith","124","52.411","2:01:58.777","Green","Track","0.450","0.805","10.060","10.254","13.448","5.675","9.085","2.634","154.167"
"97","GTD","Markus Palttala","119","56.483","2:01:59.490","Green","Track","0.465","0.831","10.382","11.063","15.306","5.939","9.710","2.787","149.194"
"22","GTD","Leh Keen","119","54.990","2:02:01.042","Green","Track","0.469","0.839","10.604","11.033","14.104","5.598","9.526","2.817","147.921"
"96","GTD","Jens Klingmann","119","54.858","2:02:01.248","Green","Track","0.467","0.832","10.546","11.048","14.138","5.567","9.489","2.771","148.555"
"63","GTD","Alessandro Balzan","118","54.209","2:02:03.882","Green","Track","0.470","0.839","10.196","10.906","14.040","5.613","9.369","2.776","147.606"
"27","GTD","Cedric Sbirrazzuoli","117","55.714","2:02:18.246","Green","Track","0.472","0.839","10.520","11.140","14.378","5.781","9.773","2.811","146.981"
"88","PC","Remo Ruscitti","122","54.191","2:02:20.042","Green","Track","0.448","0.799","10.429","11.181","14.039","5.421","9.200","2.674","154.855"
"20","PC","Johnny Mowlem","124","50.675","2:02:31.748","Green","Track","0.445","0.795","9.666","10.203","13.233","5.106","8.603","2.624","155.899"
"38","PC","Kyle Marcelli","124","50.445","2:02:33.220","Green","Track","0.443","0.793","9.624","10.072","13.120","5.116","8.645","2.632","156.603"
"540","GTD","Andy Pilgrim","119","54.772","2:02:46.688","Green","Track","0.478","0.851","10.423","10.989","14.081","5.578","9.559","2.813","145.136"
"62","GTLM","Giancarlo Fisichella","124","54.050","2:02:46.753","Green","Track","0.462","0.826","10.297","11.208","13.950","5.353","9.220","2.734","150.162"
"4","GTLM","Oliver Gavin","124","53.808","2:02:47.974","Green","Track","0.464","0.828","10.077","10.629","14.064","5.677","9.326","2.743","149.515"
"33","GTD","Jeroen Bleekemolen","120","55.685","2:02:47.966","Green","Track","0.472","0.839","10.517","11.197","14.488","5.765","9.608","2.799","146.981"
"23","GTD","Alex Riberas","120","55.939","2:02:48.562","Green","Track","0.475","0.847","10.570","11.338","14.270","5.995","9.637","2.807","146.053"
"67","GTLM","Ryan Briscoe","124","54.359","2:02:48.788","Green","Track","0.459","0.824","10.283","10.798","13.788","5.715","9.716","2.776","151.144"
"8","PC","Renger van der Zande","125","53.349","2:02:49.172","Green","Track","0.451","0.804","10.043","10.779","13.897","5.547","9.199","2.629","153.825"
"6","GTD","Robin Liddell","120","55.094","2:02:49.179","Green","Track","0.475","0.847","10.603","11.137","14.146","5.540","9.533","2.813","146.053"
"66","GTLM","Dirk Mueller","124","53.965","2:02:49.402","Green","Track","0.468","0.834","10.099","10.716","14.044","5.547","9.448","2.809","148.237"
"3","GTLM","Antonio Garcia","124","53.816","2:02:49.749","Green","Track","0.468","0.832","10.192","10.716","14.362","5.458","9.093","2.695","148.237"
"44","GTD","Andy Lally","120","55.512","2:02:50.504","Green","Track","0.471","0.840","10.262","11.180","14.711","5.837","9.426","2.785","147.293"
"48","GTD","Bryan Sellers","120","55.563","2:02:51.357","Green","Track","0.469","0.834","10.909","11.109","14.269","5.668","9.536","2.769","147.921"
"52","PC","Tom Kimber-Smith","125","52.767","2:02:51.544","Green","Track","0.444","0.791","9.837","10.666","13.947","5.455","8.981","2.646","156.250"
"16","GTD","Spencer Pumpelly","120","55.270","2:02:51.811","Green","Track","0.473","0.841","10.517","11.015","14.308","5.651","9.629","2.836","146.670"
"9","GTD","Lawson Aschenbach","120","55.552","2:02:52.307","Green","Track","0.471","0.840","10.626","11.078","14.348","5.638","9.747","2.804","147.293"
"85","PC","Misha Goikhberg","89","54.810","2:02:52.357","Green","Track","0.448","0.000","0.000","0.000","0.000","0.000","0.000","0.000","154.855"
"911","GTLM","Nick Tandy","116","54.164","2:02:52.885","Green","Track","0.466","0.831","10.165","10.831","14.236","5.584","9.292","2.759","148.873"
"73","GTD","Jorg Bergmeister","120","56.154","2:02:53.813","Green","Track","0.473","0.843","10.568","11.447","14.789","5.682","9.566","2.786","146.670"
"97","GTD","Markus Palttala","120","54.584","2:02:54.074","Green","Track","0.468","0.835","10.300","11.020","14.117","5.582","9.498","2.764","148.237"
"22","GTD","Leh Keen","120","55.133","2:02:56.175","Green","Track","0.474","0.846","10.325","11.071","14.411","5.614","9.572","2.820","146.361"
"96","GTD","Jens Klingmann","120","55.307","2:02:56.555","Green","Track","0.468","0.833","10.330","11.044","14.351","5.829","9.676","2.776","148.237"
"63","GTD","Alessandro Balzan","119","54.088","2:02:57.970","Green","Track","0.471","0.842","10.113","10.914","14.006","5.541","9.416","2.785","147.293"
"27","GTD","Cedric Sbirrazzuoli","118","55.558","2:03:13.804","Green","Track","0.472","0.839","10.480","11.051","14.118","5.836","9.930","2.832","146.981"
"88","PC","Remo Ruscitti","123","54.505","2:03:14.547","Green","Track","0.452","0.805","10.544","11.063","14.105","5.436","9.418","2.682","153.485"
"20","PC","Johnny Mowlem","125","50.685","2:03:22.433","Green","Track","0.447","0.796","9.572","10.172","13.184","5.129","8.754","2.631","155.201"
"38","PC","Kyle Marcelli","125","50.340","2:03:23.560","Green","Track","0.448","0.800","9.695","10.078","13.066","5.050","8.598","2.605","154.855"
"62","GTLM","Giancarlo Fisichella","125","52.389","2:03:39.142","Green","Track","0.463","0.827","9.815","10.473","13.706","5.290","9.090","2.725","149.838"
"4","GTLM","Oliver Gavin","125","53.412","2:03:41.386","Green","Track","0.461","0.828","9.927","10.771","13.914","5.503","9.252","2.756","150.488"
"540","GTD","Andy Pilgrim","120","56.004","2:03:42.692","Green","Track","0.475","0.848","10.688","11.097","14.710","5.685","9.665","2.836","146.053"
"8","PC","Renger van der Zande","126","53.731","2:03:42.903","Green","Track","0.445","0.794","10.171","11.171","13.810","5.445","9.245","2.650","155.899"
"33","GTD","Jeroen Bleekemolen","121","55.121","2:03:43.087","Green","Track","0.471","0.839","10.540","11.137","14.084","5.640","9.618","2.792","147.293"
"67","GTLM","Ryan Briscoe","125","54.749","2:03:43.537","Green","Track","0.465","0.828","10.239","11.252","13.957","5.736","9.517","2.755","149.194"
"66","GTLM","Dirk Mueller","125","54.432","2:03:43.834","Green","Track","0.470","0.834","10.211","11.180","14.400","5.505","9.117","2.715","147.606"
"3","GTLM","Antonio Garcia","125","54.452","2:03:44.201","Green","Track","0.455","0.814","10.367","10.997","14.609","5.434","9.081","2.695","152.473"
"52","PC","Tom Kimber-Smith","126","54.794","2:03:46.338","Green","Track","0.444","0.792","9.687","10.678","15.514","5.564","9.414","2.701","156.250"
"23","GTD","Alex Riberas","121","57.850","2:03:46.412","Green","Track","0.473","0.842","10.226","11.905","16.320","5.664","9.606","2.814","146.670"
"6","GTD","Robin Liddell","121","57.745","2:03:46.924","Green","Track","0.473","0.843","10.706","11.328","16.189","5.783","9.610","2.813","146.670"
"44","GTD","Andy Lally","121","56.593","2:03:47.097","Green","Track","0.468","0.835","10.182","10.919","16.110","5.728","9.550","2.801","148.237"
"48","GTD","Bryan Sellers","121","56.243","2:03:47.600","Green","Track","0.466","0.827","10.487","11.018","15.171","5.850","9.641","2.783","148.873"
"85","PC","Misha Goikhberg","90","55.246","2:03:47.603","Green","Track","0.448","0.800","10.153","11.194","14.779","5.724","9.454","2.694","154.855"
"911","GTLM","Nick Tandy","117","55.045","2:03:47.930","Green","Track","0.465","0.829","10.131","10.929","14.722","5.775","9.446","2.748","149.194"
"9","GTD","Lawson Aschenbach","121","56.424","2:03:48.731","Green","Track","0.471","0.842","10.385","11.448","14.667","5.903","9.844","2.864","147.293"
"16","GTD","Spencer Pumpelly","121","57.055","2:03:48.866","Green","Track","0.475","0.842","10.416","11.143","15.029","6.245","10.048","2.857","146.053"
