"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"85","PC","Misha Goikhberg","26","1:20.034","34:28.113","Green","Track","0.612","6.842","7.274","11.134","7.869","10.416","12.355","16.654","1.662","5.216","134.804"
"67","GTLM","Richard Westbrook","25","1:22.129","34:28.987","Green","Track","0.633","7.037","7.374","11.524","8.131","10.581","12.425","17.257","1.725","5.442","130.332"
"100","GTLM","Lucas Luhr","24","1:19.504","34:30.411","Green","Track","0.637","7.098","7.026","11.009","8.082","10.221","12.106","16.004","1.766","5.555","129.513"
"8","PC","Alex Popow","26","1:19.263","34:30.974","Green","Track","0.611","6.829","7.172","11.088","7.927","10.344","11.788","16.567","1.708","5.229","135.025"
"38","PC","James French","26","1:18.834","34:32.454","Green","Track","0.601","6.778","7.233","11.047","7.794","10.263","11.700","16.606","1.645","5.167","137.271"
"0","P","Andy Meyrick","20","17.163","19:51.047","Green","Track","0.589","6.609","7.446","11.168","7.778","0.000","0.000","0.000","0.000","0.000","140.068"
"10","P","Ricky Taylor","27","1:16.276","34:43.166","Green","Track","0.594","6.738","6.906","10.722","7.674","9.817","11.345","15.787","1.619","5.074","138.889"
"5","P","Christian Fittipaldi","27","1:18.211","34:48.716","Green","Track","0.592","6.650","7.038","10.909","7.745","10.047","11.484","17.003","1.629","5.114","139.358"
"88","PC","Mark Kvamme","25","1:21.985","34:48.846","Green","Track","0.646","7.150","7.638","11.366","8.105","10.239","12.387","17.315","1.735","5.404","127.709"
"52","PC","Robert Alon","26","1:21.570","34:49.742","Green","Track","0.609","6.788","7.722","11.188","8.044","10.377","12.143","17.792","1.675","5.232","135.468"
"31","P","Eric Curran","27","1:16.642","35:00.198","Green","Track","0.589","6.670","7.055","10.795","7.653","9.827","11.358","16.037","1.604","5.054","140.068"
"70","P","Tom Long","27","1:17.069","35:01.306","Green","Track","0.586","6.619","7.189","11.073","7.765","9.828","11.400","15.929","1.661","5.019","140.785"
"55","P","Tristan Nunez","27","1:16.716","35:02.408","Green","Track","0.589","6.645","6.997","10.816","7.557","9.894","11.224","16.333","1.653","5.008","140.068"
"4","GTLM","Oliver Gavin","25","1:20.239","35:10.603","Green","Track","0.647","7.197","7.496","11.120","8.026","10.323","12.056","16.130","1.717","5.527","127.512"
"912","GTLM","Earl Bamber","26","1:18.559","35:12.361","Green","Track","0.641","7.076","7.006","10.884","7.880","10.022","11.912","15.876","1.752","5.510","128.705"
"911","GTLM","Patrick Pilet","26","1:18.628","35:12.853","Green","Track","0.638","7.070","7.082","10.942","7.934","10.056","11.867","15.846","1.717","5.476","129.310"
"20","PC","Tomy Drissi","26","1:20.450","35:21.083","Green","Track","0.609","6.842","7.503","11.576","8.068","10.260","11.828","16.846","1.702","5.216","135.468"
"25","GTLM","Bill Auberlen","26","1:20.357","35:21.533","Green","Track","0.640","7.065","7.136","11.411","8.195","10.488","11.906","16.278","1.731","5.507","128.906"
"90","P","Marc Goossens","27","1:20.123","35:22.253","Green","Track","0.595","6.614","7.273","11.265","7.941","10.682","11.641","17.277","1.709","5.126","138.655"
"60","P","John Pew","26","2:38.984","35:22.571","Green","Track","79.801","6.626","7.339","11.279","7.873","10.401","11.733","17.129","1.676","5.127","1.034"
"3","GTLM","Jan Magnussen","26","1:20.141","35:29.067","Green","Track","0.643","7.126","7.304","11.209","8.031","10.330","11.971","16.260","1.763","5.504","128.305"
"66","GTLM","Dirk Muller","23","1:20.059","35:29.407","Green","Track","0.634","7.033","7.435","11.107","8.052","10.333","11.983","16.280","1.745","5.457","130.126"
"62","GTLM","Giancarlo Fisichella","26","1:19.846","35:38.397","Green","Track","0.644","7.216","7.094","11.062","8.023","10.224","12.116","16.155","1.768","5.544","128.106"
"68","GTLM","Daniel Serra","25","1:20.296","35:46.057","Green","Track","0.636","7.124","7.209","11.241","8.092","10.323","12.087","16.379","1.733","5.472","129.717"
"85","PC","Misha Goikhberg","27","1:18.963","35:47.076","Green","Track","0.608","6.862","7.414","11.148","7.769","10.030","11.454","16.789","1.666","5.223","135.691"
"67","GTLM","Richard Westbrook","26","1:20.804","35:49.791","Green","Track","0.635","7.046","7.384","11.437","8.184","10.407","12.003","16.507","1.738","5.463","129.921"
