"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"31","P","Filipe Albuquerque","29","1:39.536","59:46.759","Green","Track","3.035","8.147","11.345","3.549","0.481","13.619","20.571","30.101","5.530","3.158","170.809"
"540","GTD","Nicky Catsburg","28","1:45.985","59:50.654","Green","Track","3.308","8.701","12.351","3.882","0.502","13.766","22.229","31.896","5.890","3.460","163.664"
"4","GTLM","Tommy Milner","27","1:42.929","59:54.294","Green","Track","3.260","8.470","12.186","3.851","0.499","13.323","21.152","31.246","5.562","3.380","164.647"
"10","P","Jordan Taylor","26","1:39.053","59:58.633","Green","Track","3.062","8.152","11.418","3.626","0.472","12.825","21.704","29.381","5.261","3.152","174.066"
"44","GTD","John Potter","28","1:45.630","59:58.772","Green","Track","3.270","8.713","12.322","3.875","0.500","14.082","21.722","31.927","5.772","3.447","164.318"
"8","PC","Alex Popow","27","1:42.012","59:59.935","Green","Track","3.140","8.271","11.724","3.715","0.481","13.450","22.025","30.609","5.372","3.225","170.809"
"3","GTLM","Antonio Garcia","27","1:45.850","1:00:01.944","Finish","Track","3.245","8.440","12.109","3.810","0.491","13.453","23.850","31.501","5.587","3.364","167.330"
"2","P","Luis Felipe Derani","26","1:40.243","1:00:02.151","Finish","Track","3.083","8.297","11.481","3.651","0.469","12.846","21.285","30.721","5.277","3.133","175.179"
"54","PC","Mark Wilkins","25","1:41.750","1:00:03.214","Finish","Track","3.114","8.389","11.722","3.752","0.501","13.509","20.887","31.277","5.394","3.205","163.990"
"25","GTLM","Dirk Werner","25","1:45.239","1:00:06.748","Finish","Track","3.331","9.001","11.891","3.755","0.491","13.592","21.210","32.394","6.165","3.409","167.330"
"66","GTLM","Joey Hand","23","1:42.856","1:00:13.692","Finish","Track","3.243","8.403","12.056","3.811","0.494","13.551","20.948","31.309","5.679","3.362","166.314"
"90","P","Marc Goossens","27","1:37.568","1:00:16.102","Finish","Track","3.037","8.032","11.395","3.595","0.465","12.603","20.139","29.681","5.442","3.179","176.686"
"67","GTLM","Richard Westbrook","21","1:42.460","1:00:16.202","Finish","Track","3.219","8.389","12.030","3.787","0.486","13.515","21.071","30.981","5.626","3.356","169.052"
"62","GTLM","Giancarlo Fisichella","27","2:03.988","1:00:18.383","Finish","Pit","3.206","8.663","12.178","3.810","0.491","14.602","24.454","33.064","11.258","12.262","167.330"
"911","GTLM","Nick Tandy","26","1:43.044","1:00:18.813","Finish","Track","3.231","8.402","12.065","3.812","0.493","13.544","21.215","31.114","5.752","3.416","166.651"
"60","P","Oswaldo Negri Jr.","28","1:35.949","1:00:20.179","Finish","Track","3.027","7.826","11.276","3.579","0.460","12.449","19.765","29.370","5.082","3.115","178.607"
"52","PC","Robert Alon","29","2:01.972","1:00:21.244","Finish","Pit","3.114","8.215","11.629","3.739","0.531","13.802","22.571","34.421","8.003","15.947","154.725"
"88","PC","Mark Kvamme","28","1:45.539","1:00:27.272","Finish","Track","3.166","8.633","12.446","3.835","0.494","14.585","21.575","31.632","5.862","3.311","166.314"
"68","GTLM","Daniel Serra","29","1:42.697","1:00:29.246","Finish","Track","3.257","8.366","12.151","3.841","0.497","13.117","21.131","31.220","5.730","3.387","165.310"
"38","PC","James French","28","1:40.289","1:00:37.513","Finish","Track","3.127","8.089","11.594","3.704","0.479","13.100","21.021","30.683","5.280","3.212","171.522"
"100","GTLM","John Edwards","24","1:43.658","1:00:39.379","Finish","Track","3.237","8.504","11.938","3.786","0.490","13.419","21.028","32.179","5.712","3.365","167.672"
"96","GTD","Bret Curtis","24","1:48.878","1:00:40.552","Finish","Track","3.303","9.228","12.318","3.851","0.496","14.434","22.084","33.486","6.213","3.465","165.643"
"23","GTD","Mario Farnbacher","25","2:27.138","1:00:56.106","Finish","Track","44.348","9.282","12.518","3.876","0.499","13.705","21.750","32.019","5.736","3.405","164.647"
"50","P","Dorsey Schroeder","27","1:45.255","1:01:00.975","Finish","Track","3.307","8.859","11.898","3.720","0.486","13.840","21.798","31.838","6.136","3.373","169.052"
"33","GTD","Ben Keating","24","1:47.728","1:01:08.584","Finish","Track","3.296","8.931","12.265","3.781","0.485","14.770","22.308","32.353","6.091","3.448","169.400"
"9","GTD","Matt Bell","28","1:46.510","1:01:12.654","Finish","Track","3.271","8.965","12.323","3.806","0.489","13.982","22.043","31.932","6.224","3.475","168.015"
"85","PC","Stephen Simpson","27","1:55.070","1:01:12.966","Finish","Pit","3.157","8.115","11.689","3.713","0.479","13.212","21.441","30.662","6.570","16.032","171.522"
"6","GTD","Andrew Davis","26","1:45.302","1:01:23.813","Finish","Track","3.283","8.648","12.265","3.802","0.489","14.044","21.580","31.886","5.870","3.435","168.015"
"31","P","Filipe Albuquerque","30","1:39.341","1:01:26.100","Finish","Track","3.044","8.086","11.273","3.532","0.477","13.980","20.561","29.722","5.496","3.170","172.241"
"73","GTD","Matthew McMurry","26","1:46.650","1:01:30.765","Finish","Track","3.305","8.757","12.252","3.817","0.491","14.241","22.168","32.365","5.832","3.422","167.330"
"10","P","Jordan Taylor","27","1:38.158","1:01:36.791","Finish","Track","3.065","7.937","11.288","3.558","0.461","13.728","20.081","29.698","5.204","3.138","178.219"
"4","GTLM","Tommy Milner","28","1:44.443","1:01:38.737","Finish","Track","3.276","8.476","12.519","3.875","0.499","13.647","21.397","31.765","5.618","3.371","164.647"
"8","PC","Alex Popow","28","1:41.438","1:01:41.373","Finish","Track","3.157","8.284","11.846","3.714","0.479","13.578","21.434","30.386","5.348","3.212","171.522"
"63","GTD","Jeff Segal","24","2:41.345","1:01:47.909","Finish","Track","47.781","10.558","13.608","4.005","0.567","16.547","23.731","34.419","6.577","3.552","144.901"
"3","GTLM","Antonio Garcia","28","1:58.673","1:02:00.617","Finish","Pit","3.276","8.652","12.030","3.778","0.488","13.472","21.024","32.523","7.760","15.670","168.359"
"54","PC","Mark Wilkins","26","1:58.926","1:02:02.140","Finish","Pit","3.136","8.145","11.616","3.772","0.525","13.449","21.092","33.354","7.964","15.873","156.494"
