"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"88","PC","Ashley Freiberg","4","1:26.561","7:36.840","Green","Track","1.640","0.469","3.985","24.856","19.116","14.138","8.265","14.092","141.500"
"96","GTD","Jens Klingmann","5","1:25.894","7:42.289","Green","Track","1.730","0.495","3.963","25.840","19.817","14.464","8.710","10.875","134.068"
"97","GTD","Markus Palttala","4","1:27.281","7:44.460","Green","Track","1.729","0.495","3.981","26.304","20.087","14.823","8.800","11.062","134.068"
"52","PC","Tom Kimber-Smith","5","1:21.751","7:47.802","Green","Track","1.650","0.471","3.955","24.533","18.749","13.953","8.108","10.332","140.899"
"11","GTD","Townsend Bell","5","1:27.432","7:54.787","Green","Track","1.749","0.500","4.045","26.447","20.283","14.672","8.783","10.953","132.727"
"9","GTD","Lawson Aschenbach","4","1:29.071","8:00.802","Green","Track","1.768","0.500","4.459","27.043","20.569","14.965","8.863","10.904","132.727"
"85","PC","Misha Goikhberg","5","1:24.326","8:01.584","Green","Track","1.662","0.473","3.985","25.194","19.577","14.471","8.321","10.643","140.304"
"20","PC","Matthew McMurry","3","1:33.279","8:04.370","Green","Track","1.858","0.532","4.725","28.076","21.826","15.867","9.201","11.194","124.744"
"007","GTD","Brandon Davis","5","1:28.969","8:08.640","Green","Track","1.728","0.491","4.083","27.084","20.507","15.014","9.008","11.054","135.160"
"44","GTD","John Potter","5","1:27.701","8:10.738","Green","Track","1.767","0.502","4.071","26.305","20.259","14.951","8.862","10.984","132.198"
"23","GTD","Mario Farnbacher","5","1:26.993","8:13.161","Green","Track","1.749","0.501","4.077","26.295","19.953","14.885","8.706","10.827","132.462"
"22","GTD","Leh Keen","5","1:27.239","8:18.827","Green","Track","1.743","0.497","4.055","26.212","20.097","14.664","8.970","11.001","133.528"
"80","GTD","Mike Skeen","5","1:27.739","8:20.923","Green","Track","1.717","0.489","4.022","26.442","20.010","15.276","8.840","10.943","135.713"
"6","GTD","Andrew Davis","5","1:27.879","8:28.120","Green","Track","1.760","0.500","3.993","26.511","20.343","14.798","8.885","11.089","132.727"
"27","GTD","Cedric Sbirrazzuoli","5","1:27.467","8:29.971","Green","Track","1.750","0.502","3.994","26.402","20.350","14.703","8.819","10.947","132.198"
"540","GTD","Timothy Pappas","5","1:27.941","8:38.828","Green","Track","1.748","0.499","4.065","26.394","20.420","14.745","9.008","11.062","132.993"
"54","PC","Jonathan Bennett","5","1:22.232","8:44.687","Green","Track","1.627","0.465","3.814","24.862","19.096","13.868","8.191","10.309","142.717"
"8","PC","Renger Van DerZande","5","1:20.958","8:50.228","Green","Track","1.627","0.463","3.892","24.143","18.591","13.644","8.164","10.434","143.334"
"38","PC","Kyle Marcelli","5","1:21.989","8:52.035","Green","Track","1.629","0.469","3.951","24.496","18.885","13.895","8.294","10.370","141.500"
"88","PC","Ashley Freiberg","5","1:24.929","9:01.769","Green","Track","1.750","0.492","4.204","25.241","19.141","14.393","9.144","10.564","134.885"
"73","GTD","Jorg Bergmeister","5","1:27.858","9:02.992","Green","Track","1.733","0.496","3.980","26.004","19.844","14.658","10.245","10.898","133.798"
"63","GTD","Alessandro Balzan","5","1:39.796","9:04.908","Green","Track","5.210","0.847","5.870","28.264","20.748","15.549","12.064","11.244","78.351"
"96","GTD","Jens Klingmann","6","1:25.675","9:07.964","Green","Track","1.728","0.494","3.939","25.864","19.735","14.312","8.519","11.084","134.339"
"97","GTD","Markus Palttala","5","1:29.752","9:14.212","Green","Track","1.727","0.494","3.951","26.228","20.168","16.745","9.348","11.091","134.339"
"11","GTD","Townsend Bell","6","1:27.216","9:22.003","Green","Track","1.746","0.500","3.995","26.430","20.006","14.681","8.876","10.982","132.727"
"85","PC","Misha Goikhberg","6","1:25.041","9:26.625","Green","Track","1.661","0.473","3.989","25.861","19.472","14.438","8.482","10.665","140.304"
"9","GTD","Lawson Aschenbach","5","1:28.385","9:29.187","Green","Track","1.768","0.501","4.014","26.989","20.560","14.806","8.761","10.986","132.462"
"007","GTD","Brandon Davis","6","1:29.639","9:38.279","Green","Track","1.725","0.490","4.115","26.998","20.798","15.424","9.032","11.057","135.436"
