"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"5","P","Christian Fittipaldi","7","4:50.448","52:46.811","Green","Track","0.000","0.000","13.661","12.505","8.228","10.225","11.658","16.205","1.636","5.071","0.000"
"31","P","Eric Curran","7","4:41.856","52:48.279","Green","Track","0.000","0.000","13.455","12.349","8.342","10.832","11.598","16.569","1.575","5.016","0.000"
"10","P","Ricky Taylor","7","4:49.327","52:53.085","Green","Track","0.000","0.000","13.317","11.419","7.895","10.109","11.435","19.149","1.579","5.033","0.000"
"60","P","John Pew","5","6:00.481","53:03.614","Green","Track","0.000","0.000","14.968","12.804","8.477","11.543","12.101","17.138","1.634","5.092","0.000"
"0","P","Andy Meyrick","6","5:34.987","53:12.992","Green","Track","0.000","0.000","13.958","12.667","8.611","14.510","15.848","18.839","1.577","4.946","0.000"
"70","P","Tom Long","6","6:06.757","53:16.037","Green","Track","0.000","0.000","13.951","12.531","8.241","11.421","12.062","20.104","1.660","5.015","0.000"
"55","P","Tristan Nunez","6","6:24.346","53:30.351","Green","Pit","0.000","0.000","14.482","12.919","9.132","12.341","15.137","20.263","4.338","15.170","0.000"
"5","P","Christian Fittipaldi","8","1:15.556","54:02.367","Green","Track","0.592","6.696","7.027","10.684","7.545","9.675","11.174","15.489","1.618","5.056","139.358"
"31","P","Eric Curran","8","1:16.672","54:04.951","Green","Track","0.588","6.613","7.215","10.671","7.601","9.894","11.375","16.106","1.584","5.025","140.306"
"10","P","Ricky Taylor","8","1:16.548","54:09.633","Green","Track","0.594","6.676","6.873","10.929","7.801","9.836","11.437","15.734","1.606","5.062","138.889"
"60","P","John Pew","6","1:18.332","54:21.946","Green","Track","0.595","6.714","7.243","11.190","7.749","10.207","11.507","16.416","1.625","5.086","138.655"
"0","P","Andy Meyrick","7","1:17.124","54:30.116","Green","Track","0.578","6.586","6.982","10.681","7.761","9.793","11.607","16.681","1.538","4.917","142.734"
"70","P","Tom Long","7","1:15.641","54:31.678","Green","Track","0.585","6.595","7.037","10.845","7.581","9.672","11.187","15.534","1.631","4.974","141.026"
"5","P","Christian Fittipaldi","9","1:15.611","55:17.978","Finish","Track","0.595","6.669","6.830","10.639","7.462","9.858","11.261","15.545","1.661","5.091","138.655"
"31","P","Eric Curran","9","1:15.741","55:20.692","Finish","Track","0.590","6.642","7.014","10.687","7.546","9.652","11.137","15.909","1.562","5.002","139.831"
"10","P","Ricky Taylor","9","1:15.133","55:24.766","Finish","Track","0.598","6.712","6.806","10.575","7.603","9.663","11.152","15.371","1.596","5.057","137.960"
