"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"66","GTLM","Dirk Mueller","17","51.610","18:07.737","Green","Track","0.458","0.819","9.640","10.224","13.561","5.244","8.946","2.718","151.474"
"33","GTD","Jeroen Bleekemolen","15","53.939","18:10.884","Green","Track","0.469","0.836","10.080","10.818","13.937","5.585","9.432","2.782","147.921"
"540","GTD","Andy Pilgrim","19","55.209","18:17.219","Green","Track","0.476","0.847","10.337","11.125","14.289","5.640","9.668","2.827","145.746"
"62","GTLM","Toni Vilander","19","51.620","18:19.774","Green","Track","0.461","0.823","9.629","10.251","13.560","5.246","8.938","2.712","150.488"
"4","GTLM","Oliver Gavin","19","51.925","18:21.555","Green","Track","0.463","0.828","9.717","10.295","13.443","5.432","9.040","2.707","149.838"
"23","GTD","Alex Riberas","15","57.443","18:22.593","Green","Track","0.477","0.850","10.228","12.074","15.142","6.367","9.492","2.813","145.440"
"88","PC","Remo Ruscitti","10","52.997","18:24.308","Green","Track","0.446","0.798","9.531","10.597","13.796","5.740","9.392","2.697","155.549"
"7","PC","Jose Gutierrez","14","53.080","18:24.741","Green","Track","0.444","0.792","9.671","10.358","13.854","5.647","9.610","2.704","156.250"
"9","GTD","Lawson Aschenbach","17","54.482","18:24.893","Green","Track","0.473","0.843","10.012","10.716","13.908","5.712","9.910","2.908","146.670"
"52","PC","Tom Kimber-Smith","19","52.969","18:24.887","Green","Track","0.434","0.773","9.749","10.386","13.845","5.548","9.556","2.678","159.850"
"96","GTD","Bret Curtis","17","56.355","18:27.522","Green","Track","0.469","0.835","11.052","11.323","14.706","5.627","9.575","2.768","147.921"
"3","GTLM","Antonio Garcia","18","54.766","18:32.233","Green","Track","0.460","0.821","9.658","10.247","14.197","6.798","9.809","2.776","150.815"
"6","GTD","Robin Liddell","18","53.981","18:33.756","Green","Track","0.478","0.850","10.108","10.780","13.857","5.490","9.582","2.836","145.136"
"16","GTD","Corey Lewis","17","54.542","18:36.055","Green","Track","0.466","0.830","10.319","10.933","14.046","5.623","9.537","2.788","148.873"
"22","GTD","Leh Keen","19","53.507","18:40.557","Green","Track","0.469","0.842","10.100","10.774","13.760","5.388","9.392","2.782","147.921"
"97","GTD","Markus Palttala","20","53.943","18:41.458","Green","Track","0.462","0.824","10.076","10.887","14.095","5.476","9.373","2.750","150.162"
"25","GTLM","Bill Auberlen","16","51.695","18:42.633","Green","Track","0.457","0.815","9.575","10.251","13.579","5.305","9.001","2.712","151.805"
"911","GTLM","Nick Tandy","17","54.956","18:43.674","Green","Track","0.467","0.833","9.845","10.400","14.574","5.960","10.118","2.759","148.555"
"100","GTLM","Lucas Luhr","17","56.188","18:43.926","Green","Track","0.466","0.831","10.474","13.531","13.606","5.299","9.237","2.744","148.873"
"38","PC","Kyle Marcelli","19","49.937","18:49.529","Green","Track","0.443","0.793","9.441","10.089","13.155","4.975","8.458","2.583","156.603"
