"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"16","GTD","Spencer Pumpelly","5","3:00.541","12:45.630","Green","Pit","1.486","20.901","25.165","9.701","10.015","0.471","4.713","0.420","23.314","25.029","59.326","142.468","159.767"
"73","GTD","Patrick Lindsey","5","2:36.594","12:47.190","Green","Pit","6.062","25.353","25.989","9.679","9.889","0.465","4.741","0.426","23.710","24.959","25.321","144.306","157.517"
"100","GTLM","Lucas Luhr","5","2:24.523","12:48.254","Green","Track","5.957","27.821","27.132","9.823","10.054","0.476","4.827","0.452","23.811","25.465","8.705","140.971","148.456"
"20","PC","Matthew McMurry","4","2:52.803","12:48.887","Green","Pit","1.386","19.906","23.917","9.466","9.301","0.444","4.551","0.413","23.000","24.273","56.146","151.131","162.475"
"23","GTD","Mario Farnbacher","5","2:09.495","12:52.037","Green","Track","1.487","20.573","24.857","9.471","9.942","0.471","4.774","0.428","23.324","25.363","8.805","142.468","156.781"
"25","GTLM","Dirk Werner","4","5:37.931","12:54.095","Green","Pit","1.454","21.283","26.134","10.175","9.676","0.454","4.643","0.435","23.885","24.282","215.510","147.802","154.258"
"48","GTD","Bryan Sellers","5","2:18.294","13:02.638","Green","Track","5.955","24.207","25.440","9.573","9.922","0.468","4.702","0.420","23.458","25.367","8.782","143.381","159.767"
"97","GTD","Michael Marsal","5","3:11.296","13:06.930","Green","Pit","1.464","22.188","26.152","9.949","9.958","0.466","4.721","0.429","24.354","26.723","64.892","143.996","156.416"
"6","GTD","Robin Liddell","5","2:20.737","13:08.781","Green","Track","5.960","24.494","26.204","9.773","10.048","0.472","4.786","0.430","24.204","25.557","8.809","142.166","156.052"
"8","PC","Renger van der Zande","5","2:04.159","13:08.963","Green","Track","1.405","19.567","23.867","9.385","9.384","0.447","4.575","0.413","23.000","23.863","8.253","150.117","162.475"
"44","GTD","Andy Lally","4","3:21.489","13:09.231","Green","Pit","1.486","20.696","24.996","9.487","9.978","0.468","4.763","0.427","23.463","24.712","81.013","143.381","157.148"
"33","GTD","Jeroen Bleekemolen","5","3:35.527","13:11.386","Green","Pit","1.428","20.696","25.852","9.783","9.684","0.453","4.612","0.413","23.877","25.076","93.653","148.129","162.475"
"5","P","Joao Barbosa","6","2:02.113","13:23.214","Green","Track","1.351","18.975","22.828","9.139","8.919","0.423","4.279","0.394","23.969","23.693","8.143","158.634","170.310"
"0","P","Katherine Legge","6","2:04.608","13:23.170","Green","Track","1.326","19.759","23.980","9.416","9.043","0.419","4.335","0.391","23.741","24.383","7.815","160.149","171.617"
"70","P","Joel Miller","5","3:04.479","13:24.557","Green","Pit","6.054","26.736","26.151","10.063","9.159","0.429","4.464","0.493","24.058","24.179","52.693","156.416","136.110"
"26","PC","John Falb","5","2:31.407","13:26.696","Green","Track","6.111","28.469","28.935","11.196","9.929","0.456","4.723","0.550","27.122","25.590","8.326","147.154","122.004"
"27","GTD","Paolo Ruberti","5","3:28.678","13:27.823","Green","Pit","1.479","20.823","25.558","9.471","9.906","0.462","4.668","0.418","23.933","27.243","84.717","145.243","160.532"
"85","PC","Stephen Simpson","6","2:04.039","13:28.272","Green","Track","1.397","19.686","23.927","9.180","9.357","0.450","4.601","0.414","22.732","24.053","8.242","149.116","162.083"
"60","P","Oswaldo Negri Jr.","6","2:58.518","13:30.171","Green","Pit","1.358","20.422","24.439","9.496","9.123","0.432","4.432","0.400","22.707","25.192","60.517","155.329","167.756"
"3","GTLM","Antonio Garcia","6","2:05.529","13:31.901","Green","Track","1.448","19.838","24.136","9.234","9.795","0.460","4.641","0.418","22.722","24.270","8.567","145.875","160.532"
