"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"73","GTD","Jorg Bergmeister","5","2:59.912","12:51.840","Green","Track","53.436","12.776","21.123","0.513","23.592","29.880","21.359","12.292","4.941","160.265"
"44","GTD","John Potter","5","3:41.454","12:53.429","Green","Track","90.962","13.933","21.845","0.521","23.982","31.105","21.648","12.463","4.995","157.804"
"80","GTD","Mike Skeen","4","5:19.569","12:57.582","Green","Pit","176.431","13.153","21.207","0.513","23.641","30.142","21.686","14.118","18.678","160.265"
"70","P","Joel Miller","4","2:51.008","12:59.823","Green","Track","51.763","13.216","20.516","0.483","22.422","27.247","19.802","11.069","4.490","170.219"
"85","PC","Stephen Simpson","6","2:02.889","13:02.300","Green","Track","5.333","9.947","20.006","0.498","22.607","27.850","20.348","11.592","4.708","165.092"
"48","GTD","Bryan Sellers","5","2:08.307","13:10.812","Green","Track","5.402","10.364","21.091","0.507","22.940","29.398","21.306","12.355","4.944","162.162"
"3","GTLM","Jan Magnussen","6","2:05.181","13:16.006","Green","Track","5.392","10.075","20.538","0.505","22.520","28.479","20.800","11.977","4.895","162.804"
"22","GTD","Sven Muller","5","2:30.100","13:32.096","Green","Track","22.896","12.873","21.267","0.516","23.538","30.257","21.586","12.218","4.949","159.333"
"77","GTD","Gunnar Jeannette","6","2:23.717","13:33.317","Green","Track","5.459","10.255","20.845","0.512","23.096","44.731","21.606","12.280","4.933","160.578"
"52","PC","Tom Kimber-Smith","5","3:24.831","13:35.598","Green","Track","83.193","12.557","20.818","0.500","22.987","28.030","20.481","11.575","4.690","164.432"
"0","P","Katherine Legge","5","5:00.841","13:42.907","Green","Track","178.549","14.076","20.059","0.481","22.609","29.355","19.834","11.383","4.495","170.927"
"5","P","Joao Barbosa","5","2:01.151","13:47.685","Green","Track","5.054","9.856","19.567","0.474","21.740","28.315","20.362","11.291","4.492","173.451"
"7","PC","Gustavo Yacaman","5","2:00.982","13:49.851","Green","Track","5.295","9.693","19.989","0.500","21.860","27.253","19.940","11.756","4.696","164.432"
"60","P","Oswaldo Negri Jr.","6","3:29.004","13:53.706","Green","Track","88.554","14.201","19.673","0.471","22.130","26.987","20.992","11.519","4.477","174.556"
"88","PC","Richard Bradley","4","3:18.902","13:55.144","Green","Track","71.106","14.252","23.572","0.524","22.842","27.923","21.564","12.440","4.679","156.901"
