"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"23","GTD","Alex Riberas","7","2:09.376","20:53.219","Green","Track","1.501","20.445","24.714","9.509","9.961","0.470","4.745","0.426","23.463","25.338","8.804","142.771","157.517"
"48","GTD","Madison Snow","7","2:09.636","20:55.851","Green","Track","1.484","20.594","25.076","9.401","9.896","0.463","4.637","0.413","23.476","25.432","8.764","144.929","162.475"
"5","P","Joao Barbosa","8","2:01.479","21:04.186","Green","Track","1.358","18.777","23.962","9.295","8.957","0.423","4.314","0.389","22.328","23.734","7.942","158.634","172.499"
"63","GTD","Christina Nielsen","8","2:24.864","21:04.754","Green","Track","6.696","28.006","26.535","9.537","9.917","0.465","4.717","0.421","24.052","25.692","8.826","144.306","159.388"
"88","PC","Richard Bradley","8","4:27.278","21:06.582","Green","Track","134.690","27.388","25.943","9.610","9.260","0.443","4.523","0.419","22.934","23.784","8.284","151.472","160.149"
"3","GTLM","Antonio Garcia","7","6:16.619","21:13.403","Green","Track","245.403","24.744","24.706","9.616","9.782","0.461","4.651","0.421","23.219","24.857","8.759","145.558","159.388"
"8","PC","Renger van der Zande","8","2:01.982","21:14.274","Green","Track","1.432","19.443","23.004","9.137","9.300","0.442","4.532","0.408","22.707","23.298","8.279","151.815","164.466"
"4","GTLM","Tommy Milner","8","2:06.269","21:20.846","Green","Track","1.473","20.352","24.068","9.320","9.822","0.462","4.667","0.421","22.781","24.298","8.605","145.243","159.388"
"55","P","Jonathan Bomarito","8","2:00.505","21:24.021","Green","Track","1.375","19.066","22.726","9.100","8.985","0.425","4.396","0.400","22.801","23.255","7.976","157.888","167.756"
"0","P","Sean Rayhall","8","2:01.493","21:26.383","Green","Track","1.342","19.300","23.360","9.007","8.910","0.419","4.262","0.382","22.778","23.933","7.800","160.149","175.660"
"100","GTLM","John Edwards","8","2:06.251","21:26.708","Green","Track","1.479","19.824","23.988","9.295","9.686","0.457","4.642","0.426","23.371","24.549","8.534","146.832","157.517"
"70","P","Tom Long","6","8:58.992","21:43.807","Green","Pit","1.373","19.376","23.149","9.127","9.056","0.426","4.366","0.426","22.871","22.916","425.906","157.517","157.517"
"25","GTLM","Bill Auberlen","8","2:06.133","21:44.437","Green","Track","1.486","20.288","23.945","9.224","9.840","0.462","4.700","0.420","22.788","24.338","8.642","145.243","159.767"
"66","GTLM","Joey Hand","7","7:58.403","21:44.622","Green","Pit","1.470","19.896","23.603","9.177","9.737","0.457","4.629","0.416","22.786","23.382","362.850","146.832","161.304"
"67","GTLM","Ryan Briscoe","7","2:06.249","21:49.937","Green","Track","1.473","20.050","24.303","9.309","9.740","0.456","4.637","0.425","23.096","24.270","8.490","147.154","157.888"
"26","PC","Don Yount","10","2:06.263","21:50.742","Green","Track","1.403","20.320","24.603","9.453","9.291","0.438","4.456","0.412","23.202","24.384","8.301","153.202","162.870"
"80","GTD","Mike Skeen","8","2:10.849","21:53.496","Green","Track","1.471","20.304","24.774","9.442","9.732","0.456","4.619","0.412","25.465","25.586","8.588","147.154","162.870"
"912","GTLM","Earl Bamber","10","2:05.662","21:53.795","Green","Track","1.483","19.854","23.710","9.264","9.754","0.460","4.672","0.418","22.791","24.690","8.566","145.875","160.532"
"911","GTLM","Nick Tandy","10","2:05.616","21:56.472","Green","Track","1.477","19.987","23.788","9.207","9.731","0.457","4.650","0.416","22.727","24.604","8.572","146.832","161.304"
"73","GTD","Jorg Bergmeister","7","2:10.254","22:09.963","Green","Track","1.501","20.490","25.078","9.659","9.973","0.463","4.718","0.429","23.606","25.574","8.763","144.929","156.416"
"38","PC","Nicholas Boulle","10","2:05.225","22:12.986","Green","Track","1.415","19.980","23.906","9.379","9.349","0.443","4.500","0.412","23.380","24.166","8.295","151.472","162.870"
"60","P","Oswaldo Negri Jr.","8","1:59.112","22:24.819","Green","Track","1.372","19.071","22.223","9.158","8.997","0.424","4.355","0.392","22.198","22.905","8.017","158.260","171.179"
"27","GTD","Paolo Ruberti","8","2:12.219","22:27.450","Green","Track","1.505","20.505","25.194","9.460","9.975","0.463","4.682","0.419","23.248","27.857","8.911","144.929","160.149"
"97","GTD","Markus Palttala","9","2:10.313","22:38.176","Green","Track","1.482","20.700","25.129","9.552","9.863","0.462","4.662","0.416","23.653","25.622","8.772","145.243","161.304"
"62","GTLM","Giancarlo Fisichella","9","2:05.306","22:39.957","Green","Track","1.472","20.246","23.977","9.377","9.737","0.457","4.633","0.415","22.666","23.867","8.459","146.832","161.692"
"52","PC","Robert Alon","9","2:22.577","22:44.730","Green","Track","6.259","25.788","25.403","10.529","9.597","0.452","4.648","0.471","25.326","25.859","8.245","148.456","142.468"
"007","GTD","David Calvert-Jones","9","2:11.085","22:54.416","Green","Track","1.504","20.741","25.121","9.723","9.922","0.463","4.734","0.438","23.789","25.800","8.850","144.929","153.202"
"96","GTD","Jens Klingmann","7","7:27.742","22:54.943","Green","Pit","1.476","20.405","24.778","9.564","9.828","0.463","4.656","0.415","23.708","24.152","328.297","144.929","161.692"
"7","PC","Jose Gutierrez","8","7:25.932","22:56.025","Green","Track","318.942","23.395","23.850","9.273","9.380","0.443","4.518","0.450","23.241","24.139","8.301","151.472","149.116"
