"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"88","PC","Mark Kvamme","3","2:08.850","6:31.816","Green","Track","5.389","10.266","20.465","0.499","23.471","29.362","22.433","12.190","4.775","164.761"
"911","GTLM","Patrick Pilet","3","2:04.572","6:44.508","Green","Track","5.464","9.919","20.573","0.504","22.247","28.215","20.812","11.919","4.919","163.127"
"62","GTLM","Giancarlo Fisichella","3","2:04.729","6:45.489","Green","Track","5.459","9.975","20.404","0.505","22.353","28.296","20.882","11.958","4.897","162.804"
"912","GTLM","Earl Bamber","3","2:04.685","6:47.369","Green","Track","5.467","10.069","20.412","0.504","22.246","28.209","20.793","12.064","4.921","163.127"
"3","GTLM","Antonio Garcia","3","2:04.646","6:47.957","Green","Track","5.413","10.108","20.471","0.502","22.379","28.328","20.650","11.915","4.880","163.777"
"4","GTLM","Oliver Gavin","3","2:04.945","6:49.133","Green","Track","5.428","10.188","20.395","0.502","22.330","28.390","20.868","11.958","4.886","163.777"
"23","GTD","Alex Riberas","3","2:09.318","6:59.856","Green","Track","5.560","10.459","20.921","0.514","23.117","29.264","21.953","12.515","5.015","159.953"
"6","GTD","Andrew Davis","3","2:09.257","7:00.367","Green","Track","5.474","10.571","20.889","0.506","23.267","29.512","21.616","12.431","4.991","162.482"
"33","GTD","Ben Keating","3","2:09.031","7:00.985","Green","Track","5.389","10.543","20.837","0.501","23.327","29.605","21.505","12.436","4.888","164.104"
"9","GTD","Matt Bell","3","2:08.947","7:01.241","Green","Track","5.484","10.446","21.173","0.511","23.135","29.577","21.392","12.291","4.938","160.892"
"67","GTLM","Ryan Briscoe","3","2:06.007","7:01.280","Green","Track","5.406","10.323","20.607","0.503","22.440","28.336","21.309","12.211","4.872","163.451"
"25","GTLM","Bill Auberlen","3","2:05.570","7:02.054","Green","Track","5.430","10.326","20.637","0.505","22.823","28.159","20.788","12.002","4.900","162.804"
"100","GTLM","Lucas Luhr","3","2:08.464","7:05.065","Green","Track","5.415","10.585","20.641","0.506","23.543","29.685","21.256","11.910","4.923","162.482"
"27","GTD","Luca Persiani","3","2:11.597","7:06.781","Green","Track","5.421","10.841","21.072","0.504","24.063","30.338","21.948","12.455","4.955","163.127"
"48","GTD","Madison Snow","3","2:10.438","7:07.027","Green","Track","5.530","11.004","20.953","0.501","23.509","29.577","22.009","12.431","4.924","164.104"
"63","GTD","Christina Nielsen","3","2:12.202","7:08.662","Green","Track","5.508","10.924","21.247","0.513","24.051","30.331","22.067","12.549","5.012","160.265"
"73","GTD","Patrick Lindsey","3","2:10.468","7:10.762","Green","Track","5.368","10.496","21.110","0.507","23.120","30.364","21.956","12.586","4.961","162.162"
