"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"44","GTD","Andy Lally","3","2:39.518","16:56.725","Red","Pit","17.725","30.125","25.611","8.545","7.001","6.925","147.004","7.740","7.012","16.076","0.000","162.848","0.000"
"93","GTD","Damien Faulkner","3","2:37.279","17:01.017","Red","Pit","14.261","29.787","26.542","8.515","7.121","7.177","143.484","8.080","7.125","16.076","0.000","160.389","0.000"
"51","GTD","Raffaele Gianmaria","3","2:37.374","17:02.587","Red","Pit","13.778","29.675","26.884","8.624","6.647","7.049","143.360","7.880","6.701","16.636","0.000","0.000","0.000"
"02","P","Scott Dixon","4","2:37.273","17:05.572","Red","Pit","13.937","30.410","25.456","8.042","6.147","7.202","0.000","8.543","7.860","16.020","0.000","0.000","0.000"
"85","PC","Stephen Simpson","3","3:04.312","16:54.045","Red","Pit","31.493","36.288","29.498","10.382","8.720","8.295","15.355","10.035","9.027","10.997","0.000","0.000","0.000"
"01","P","Alex Wurz","5","2:38.911","17:21.275","Red","Pit","16.688","36.453","27.855","8.111","6.201","7.012","13.625","8.121","8.584","12.528","0.000","0.000","0.000"
"22","GTD","Leh Keen","3","2:29.770","17:39.055","Red","Pit","14.315","31.240","26.943","8.620","6.715","6.970","13.534","7.729","6.756","12.786","0.000","0.000","0.000"
"68","GTLM","Alessandro Pier Guidi","4","4:45.574","15:31.267","Red","Pit","12.766","31.900","26.218","8.434","6.512","6.490","13.608","7.543","6.400","12.150","0.000","151.207","0.000"
"45","GTD","Tracy Krohn","2","13:22.458","7:06.853","Red","Pit","16.631","33.364","28.176","9.580","7.679","7.186","14.727","8.624","7.440","12.069","0.000","163.303","0.000"
"38","PC","James French","4","5:08.469","15:32.592","Red","Track","16.125","33.182","29.748","8.685","6.910","7.212","14.790","8.290","7.570","12.868","0.000","0.000","0.000"
"97","GTD","Markus Palttala","4","6:48.168","16:55.457","Red","Pit","19.757","79.631","53.383","28.155","30.242","34.347","35.874","30.890","34.257","38.010","0.000","411.737","0.000"
"4","GTLM","Oliver Gavin","5","12:13.835","28:42.682","Green","Pit","13.171","0.000","22.591","7.947","0.000","0.000","12.256","7.400","6.659","13.109","0.000","0.000","0.000"
"25","GTLM","Dirk Werner","6","11:35.868","28:46.492","Green","Pit","12.990","27.710","25.070","8.850","6.688","6.772","0.000","8.100","7.433","17.508","0.000","0.000","0.000"
"100","GTLM","John Edwards","5","13:17.834","28:46.966","Green","Pit","14.348","28.126","23.189","8.093","6.586","6.253","12.121","7.374","6.849","11.428","0.000","663.413","0.000"
"90","P","Ryan Dalziel","4","11:38.824","28:48.608","Green","Pit","13.533","29.962","26.645","8.490","6.175","7.244","0.000","9.200","7.542","14.515","0.000","0.000","0.000"
"31","P","Dane Cameron","5","14:08.255","29:11.311","Green","Pit","35.265","0.000","25.542","7.746","0.000","0.000","12.710","0.000","6.028","9.026","0.000","0.000","0.000"
"3","GTLM","Jan Magnussen","6","11:36.213","29:12.657","Green","Pit","12.813","0.000","26.320","8.646","6.632","6.737","12.820","8.188","9.083","13.390","0.000","0.000","0.000"
"67","GTLM","Ryan Briscoe","5","13:58.638","30:05.764","Finish","Track","601.823","26.813","22.478","7.918","6.500","6.172","11.355","7.327","6.399","5.330","0.481","3.078","170.100"
"60","P","Oswaldo Negri","3","21:39.087","30:15.250","Finish","Track","594.704","30.907","24.933","7.718","0.000","0.000","12.209","6.930","5.935","4.947","0.449","2.856","182.223"
"66","GTLM","Joey Hand","5","13:23.755","30:19.881","Finish","Track","556.035","29.302","22.602","8.069","0.000","0.000","11.547","7.421","6.507","5.307","0.479","3.079","170.810"
"0","P","Katherine Legge","2","23:04.983","30:23.060","Finish","Track","588.832","31.805","25.803","7.608","0.000","0.000","14.302","7.033","5.932","4.861","0.437","3.036","187.227"
"28","GTD","Marc Basseng","5","13:46.437","30:26.281","Finish","Track","572.629","31.725","25.400","8.069","0.000","0.000","13.283","7.413","6.572","5.329","0.000","0.000","0.000"
"37","P","Mikhail Aleshin","4","13:32.228","30:26.849","Finish","Track","547.971","30.952","26.156","7.646","0.000","0.000","12.688","7.061","0.000","4.991","0.000","0.000","0.000"
"23","GTD","Mario Farnbacher","4","21:40.609","30:28.148","Finish","Track","577.704","32.668","27.036","8.402","0.000","0.000","13.039","7.540","6.509","5.388","0.000","0.000","0.000"
"20","PC","Johnny Mowlem","4","21:48.845","30:28.583","Finish","Track","546.832","30.546","25.426","8.052","0.000","0.000","12.798","7.285","6.350","5.322","0.000","0.000","0.000"
"10","P","Ricky Taylor","6","13:29.437","30:29.415","Finish","Track","543.727","31.001","25.464","7.787","0.000","0.000","12.603","7.109","6.059","5.012","0.000","0.000","0.000"
"02","P","Scott Dixon","5","13:27.484","30:33.056","Finish","Track","538.392","0.000","25.613","0.000","0.000","0.000","12.525","0.000","6.048","5.002","0.000","0.000","0.000"
"68","GTLM","Alessandro Pier Guidi","5","15:04.442","30:35.709","Finish","Track","511.316","0.000","22.700","7.899","0.000","0.000","0.000","0.000","6.393","0.000","0.000","0.000","0.000"
"93","GTD","Damien Faulkner","4","13:34.742","30:35.759","Finish","Track","542.275","0.000","26.127","8.503","0.000","0.000","12.928","0.000","6.441","0.000","0.000","0.000","0.000"
"01","P","Alex Wurz","6","13:19.525","30:40.800","Finish","Track","524.541","0.000","27.419","8.008","0.000","0.000","12.959","7.209","6.049","4.988","0.451","2.872","181.415"
"22","GTD","Leh Keen","4","13:06.846","30:45.901","Finish","Track","518.899","0.000","27.081","8.446","6.724","0.000","0.000","7.633","6.582","5.430","0.000","0.000","0.000"
"38","PC","James French","5","15:16.648","30:49.240","Finish","Track","490.267","0.000","26.249","8.975","7.178","0.000","0.000","7.586","6.396","5.338","0.483","3.098","169.396"
"98","GTD","Richie Stanaway","4","14:08.752","30:57.129","Finish","Track","584.887","0.000","26.901","8.518","6.715","6.615","0.000","7.627","6.545","5.437","0.491","3.140","166.636"
"72","GTLM","Gianmaria Bruni","4","14:02.584","30:58.253","Finish","Track","594.054","30.883","24.039","8.409","6.718","6.424","0.000","7.628","6.521","5.332","0.480","3.083","170.455"
"51","GTD","Raffaele Gianmaria","4","13:55.823","30:58.410","Finish","Track","561.364","0.000","27.061","0.000","0.000","6.449","0.000","7.734","6.513","5.363","0.481","3.179","170.100"
"21","GTD","Emanuele Busnelli","3","14:16.544","31:01.576","Finish","Track","573.603","0.000","28.624","8.535","6.996","6.919","0.000","7.753","6.930","5.716","0.530","3.475","154.374"
"44","GTD","Andy Lally","4","14:11.141","31:07.866","Finish","Track","573.096","33.058","26.388","8.590","6.883","0.000","0.000","7.770","6.653","5.486","0.494","3.164","165.624"
"6","GTD","Andrew Davis","3","14:46.098","31:07.904","Finish","Track","619.746","33.858","28.156","8.690","6.856","0.000","0.000","7.966","6.738","0.000","0.495","3.144","165.289"
"30","GTD","Sven Mueller","3","23:38.722","31:09.724","Finish","Track","652.109","32.788","26.372","8.537","6.871","0.000","0.000","7.799","6.681","5.484","0.000","0.000","0.000"
"62","GTLM","Giancarlo Fisichella","5","14:42.051","31:09.958","Finish","Track","0.000","0.000","23.427","8.036","6.560","0.000","0.000","7.327","6.401","5.230","0.000","0.000","0.000"
"4","GTLM","Oliver Gavin","6","2:28.076","31:10.758","Finish","Track","0.000","0.000","23.635","8.053","6.552","0.000","0.000","7.360","6.375","5.207","0.000","0.000","0.000"
"45","GTD","Tracy Krohn","3","24:04.393","31:11.246","Finish","Track","515.699","35.204","27.835","9.097","7.388","0.000","0.000","8.448","7.057","5.778","0.000","0.000","0.000"
"540","GTD","Timothy Pappas","3","14:34.795","31:15.484","Finish","Track","604.926","36.585","28.956","9.010","6.972","0.000","759.299","7.846","6.613","5.483","0.000","0.000","0.000"
"11","GTD","Townsend Bell","3","14:26.346","31:15.551","Finish","Track","0.000","0.000","27.460","8.334","6.535","0.000","0.000","7.702","6.610","5.449","0.000","0.000","0.000"
"96","GTD","Marco Wittman","5","14:19.986","31:19.107","Finish","Track","0.000","0.000","26.296","8.510","6.734","0.000","0.000","7.697","6.553","5.415","0.000","0.000","0.000"
"73","GTD","Norbert Siedler","3","24:20.619","31:20.194","Finish","Track","0.000","0.000","26.678","8.334","6.590","0.000","0.000","7.533","6.425","5.291","0.000","0.000","0.000"
