"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"911","GTLM","Patrick Pilet","4","51.346","31:01.225","Green","Track","0.462","0.825","9.553","10.212","13.478","5.194","8.892","2.730","150.162"
"62","GTLM","Toni Vilander","5","50.902","31:05.895","Green","Track","0.458","0.819","9.510","10.188","13.219","5.168","8.854","2.686","151.474"
"912","GTLM","Frederic Makowiecki","6","51.445","31:11.376","Green","Track","0.463","0.827","9.565","10.181","13.530","5.195","8.961","2.723","149.838"
"3","GTLM","Jan Magnussen","7","51.264","31:18.687","Green","Track","0.458","0.818","9.544","10.233","13.490","5.182","8.843","2.696","151.474"
"66","GTLM","Joey Hand","7","50.878","31:21.601","Green","Track","0.454","0.812","9.480","10.096","13.348","5.184","8.819","2.685","152.808"
"67","GTLM","Richard Westbrook","7","50.848","31:25.635","Green","Track","0.457","0.815","9.527","10.081","13.333","5.162","8.799","2.674","151.805"
"25","GTLM","Dirk Werner","1","31:33.512","31:33.512","Green","Track","0.000","0.000","12.685","10.874","14.269","5.443","9.161","2.747","0.000"
"100","GTLM","John Edwards","2","53.277","31:43.546","Green","Track","0.467","0.836","10.155","10.762","13.825","5.438","9.083","2.711","148.555"
"4","GTLM","Tommy Milner","3","56.065","31:50.402","Green","Track","0.469","0.837","9.779","10.413","13.724","8.367","9.739","2.737","147.921"
"62","GTLM","Toni Vilander","6","54.945","32:00.840","Green","Track","0.456","0.817","9.517","10.258","15.026","5.958","10.018","2.895","152.138"
"912","GTLM","Frederic Makowiecki","7","51.505","32:02.881","Green","Track","0.461","0.824","9.541","10.148","13.459","5.264","9.060","2.748","150.488"
"3","GTLM","Jan Magnussen","8","51.434","32:10.121","Green","Track","0.457","0.819","9.626","10.153","13.529","5.205","8.936","2.709","151.805"
"66","GTLM","Joey Hand","8","52.745","32:14.346","Green","Track","0.457","0.813","9.531","10.117","13.401","5.587","10.130","2.709","151.805"
"67","GTLM","Richard Westbrook","8","50.923","32:16.558","Green","Track","0.452","0.809","9.534","10.136","13.304","5.175","8.843","2.670","153.485"
"25","GTLM","Dirk Werner","2","51.503","32:25.015","Green","Track","0.464","0.827","9.621","10.238","13.425","5.289","8.948","2.691","149.515"
"100","GTLM","John Edwards","3","52.150","32:35.696","Green","Track","0.457","0.817","9.821","10.437","13.666","5.321","8.947","2.684","151.805"
"4","GTLM","Tommy Milner","4","51.727","32:42.129","Green","Track","0.464","0.827","9.802","10.266","13.462","5.277","8.919","2.710","149.515"
"62","GTLM","Toni Vilander","7","51.940","32:52.780","Green","Track","0.482","0.859","9.872","10.472","13.430","5.216","8.918","2.691","143.932"
"912","GTLM","Frederic Makowiecki","8","55.266","32:58.147","Green","Track","0.464","0.828","9.553","10.195","17.064","5.441","9.012","2.709","149.515"
"3","GTLM","Jan Magnussen","9","51.439","33:01.560","Green","Track","0.460","0.820","9.633","10.200","13.526","5.222","8.884","2.694","150.815"
"66","GTLM","Joey Hand","9","53.711","33:08.057","Green","Track","0.459","0.818","9.512","10.184","13.787","7.015","9.236","2.700","151.144"
"67","GTLM","Richard Westbrook","9","56.627","33:13.185","Green","Track","0.453","0.807","9.448","11.230","16.937","5.937","9.129","2.686","153.146"
"25","GTLM","Dirk Werner","3","51.181","33:16.196","Green","Track","0.455","0.815","9.490","10.067","13.695","5.178","8.818","2.663","152.473"
"4","GTLM","Tommy Milner","5","50.866","33:32.995","Green","Track","0.460","0.823","9.543","10.071","13.330","5.105","8.842","2.692","150.815"
"100","GTLM","John Edwards","4","1:03.179","33:38.875","Green","Pit","0.456","0.813","9.744","10.315","13.548","5.329","11.417","11.557","152.138"
"62","GTLM","Toni Vilander","8","51.236","33:44.016","Green","Track","0.457","0.819","9.467","10.180","13.438","5.234","8.938","2.703","151.805"
"3","GTLM","Jan Magnussen","10","54.504","33:56.064","Green","Track","0.457","0.816","9.638","10.154","13.644","5.802","10.844","3.149","151.805"
"66","GTLM","Joey Hand","10","51.093","33:59.150","Green","Track","0.459","0.816","9.590","10.168","13.345","5.192","8.842","2.681","151.144"
"67","GTLM","Richard Westbrook","10","51.104","34:04.289","Green","Track","0.455","0.813","9.518","10.119","13.364","5.245","8.907","2.683","152.473"
"25","GTLM","Dirk Werner","4","1:03.168","34:19.364","Green","Pit","0.451","0.807","9.515","10.002","13.438","5.215","12.109","11.631","153.825"
"4","GTLM","Tommy Milner","6","50.890","34:23.885","Green","Track","0.457","0.817","9.508","10.064","13.457","5.141","8.770","2.676","151.805"
"62","GTLM","Toni Vilander","9","51.047","34:35.063","Green","Track","0.459","0.820","9.503","10.155","13.310","5.179","8.930","2.691","151.144"
"100","GTLM","John Edwards","5","1:00.974","34:39.849","Green","Track","0.457","0.000","0.000","0.000","0.000","0.000","0.000","0.000","151.805"
"66","GTLM","Joey Hand","11","53.523","34:52.673","Green","Track","0.456","0.812","9.527","10.242","14.512","5.992","9.253","2.729","152.138"
"67","GTLM","Richard Westbrook","11","52.541","34:56.830","Green","Track","0.455","0.813","9.429","10.231","13.495","5.341","10.021","2.756","152.473"
"3","GTLM","Jan Magnussen","11","1:02.699","34:58.763","Green","Track","0.529","0.980","10.806","11.391","17.560","6.422","11.779","3.232","131.144"
"4","GTLM","Tommy Milner","7","50.858","35:14.743","Green","Track","0.455","0.816","9.428","10.129","13.299","5.150","8.899","2.682","152.473"
"25","GTLM","Dirk Werner","5","58.565","35:17.929","Green","Track","0.000","0.000","11.774","10.326","13.403","5.168","8.798","2.674","0.000"
"62","GTLM","Toni Vilander","10","50.927","35:25.990","Green","Track","0.458","0.818","9.438","10.222","13.280","5.144","8.875","2.692","151.474"
"100","GTLM","John Edwards","6","51.431","35:31.280","Green","Track","0.457","0.817","9.656","10.266","13.470","5.204","8.878","2.683","151.805"
"66","GTLM","Joey Hand","12","52.516","35:45.189","Green","Track","0.462","0.825","9.588","10.125","13.394","5.188","9.189","3.745","150.162"
"67","GTLM","Richard Westbrook","12","50.893","35:47.723","Green","Track","0.466","0.830","9.498","10.098","13.304","5.172","8.843","2.682","148.873"
"3","GTLM","Jan Magnussen","12","56.154","35:54.917","Green","Track","0.582","1.080","11.473","11.847","14.041","5.354","9.050","2.727","119.201"
"4","GTLM","Tommy Milner","8","50.914","36:05.657","Green","Track","0.455","0.818","9.512","10.072","13.314","5.188","8.864","2.691","152.473"
"25","GTLM","Dirk Werner","6","52.504","36:10.433","Green","Track","0.458","0.000","0.000","0.000","0.000","0.000","0.000","0.000","151.474"
"100","GTLM","John Edwards","7","51.641","36:22.921","Green","Track","0.456","0.816","9.658","10.229","13.523","5.250","8.981","2.728","152.138"
"67","GTLM","Richard Westbrook","13","50.748","36:38.471","Green","Track","0.456","0.813","9.466","10.056","13.261","5.175","8.837","2.684","152.138"
"4","GTLM","Tommy Milner","9","50.956","36:56.613","Green","Track","0.457","0.818","9.502","10.051","13.402","5.173","8.871","2.682","151.805"
"3","GTLM","Jan Magnussen","13","1:04.667","36:59.584","Green","Pit","0.463","0.827","9.643","10.389","13.633","5.190","12.826","11.696","149.838"
"25","GTLM","Dirk Werner","7","50.834","37:01.267","Green","Track","0.458","0.817","9.459","9.991","13.427","5.164","8.828","2.690","151.474"
"67","GTLM","Richard Westbrook","14","1:11.522","37:49.993","Red","Pit","0.458","0.815","10.155","11.697","16.684","6.179","13.885","11.649","151.474"
"4","GTLM","Tommy Milner","10","1:15.807","38:12.420","Red","Pit","0.456","0.818","9.568","11.959","18.933","7.041","15.427","11.605","152.138"
"912","GTLM","Frederic Makowiecki","9","7:32.559","40:30.706","Finish","Pit","0.459","0.820","9.595","10.214","13.681","5.877","13.257","398.656","151.144"
"911","GTLM","Patrick Pilet","5","9:31.796","40:33.021","Finish","Pit","0.462","0.833","11.102","12.087","17.468","6.867","15.766","507.211","150.162"
"54","PC","Colin Braun","1","51:04.442","51:04.442","Green","Track","0.000","0.000","12.356","11.153","13.871","4.969","8.612","2.651","0.000"
"52","PC","Robert Alon","1","51:07.818","51:07.818","Green","Track","0.000","0.000","14.075","12.005","15.389","5.652","9.279","2.705","0.000"
"38","PC","James French","1","51:16.932","51:16.932","Green","Track","0.000","0.000","13.427","11.680","15.175","5.505","9.271","2.686","0.000"
"20","PC","Matthew McMurry","1","51:23.921","51:23.921","Green","Track","0.000","0.000","17.162","12.000","15.566","5.818","9.317","2.698","0.000"
"85","PC","Misha Goikhberg","1","51:28.135","51:28.135","Green","Pit","0.000","0.000","13.993","11.947","15.529","6.132","14.918","12.783","0.000"
"7","PC","Jose Gutierrez","1","51:29.090","51:29.090","Green","Pit","0.000","0.000","13.957","12.277","15.907","6.074","15.673","11.821","0.000"
"88","PC","Mark Kvamme","1","51:34.551","51:34.551","Green","Track","0.000","0.000","16.475","13.536","16.632","6.395","10.399","2.823","0.000"
