"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"23","GTD","Mario Farnbacher","67","1:27.565","1:43:09.439","Green","Track","1.735","0.496","4.043","26.564","20.265","14.785","8.773","10.904","133.798"
"63","GTD","Alessandro Balzan","67","1:28.389","1:43:11.541","Green","Track","1.718","0.489","3.998","26.483","20.321","15.180","9.167","11.033","135.713"
"80","GTD","Mike Skeen","66","1:30.339","1:43:12.030","Green","Track","1.724","0.490","4.001","27.528","20.430","15.203","9.771","11.192","135.436"
"44","GTD","Andy Lally","66","1:28.186","1:43:12.617","Green","Track","1.771","0.504","4.032","26.601","20.239","14.929","8.925","11.185","131.674"
"96","GTD","Jens Klingmann","67","1:27.808","1:43:14.363","Green","Track","1.752","0.502","4.006","26.554","20.136","14.821","8.854","11.183","132.198"
"20","PC","Johnny Mowlem","69","1:24.217","1:43:15.542","Green","Track","1.631","0.468","3.982","25.455","19.224","14.480","8.421","10.556","141.803"
"007","GTD","James Davison","67","1:28.056","1:43:23.208","Green","Track","1.728","0.490","4.013","26.739","20.235","14.901","8.907","11.043","135.436"
"6","GTD","Robin Liddell","67","1:28.164","1:43:27.687","Green","Track","1.775","0.501","4.094","26.576","20.375","14.836","8.856","11.151","132.462"
"33","GTD","Jeroen Bleekemolen","67","1:28.059","1:43:30.697","Green","Track","1.711","0.489","3.975","26.684","20.286","14.948","8.968","10.998","135.713"
"48","GTD","Bryan Sellers","67","1:28.481","1:43:33.044","Green","Track","1.754","0.501","4.027","26.693","20.406","14.999","8.889","11.212","132.462"
"22","GTD","Leh Keen","67","1:28.186","1:43:33.909","Green","Track","1.736","0.499","4.105","26.613","20.392","14.961","8.825","11.055","132.993"
"9","GTD","Lawson Aschenbach","67","1:28.445","1:43:34.870","Green","Track","1.772","0.502","4.052","26.659","20.506","15.027","8.787","11.140","132.198"
"11","GTD","Townsend Bell","67","1:28.919","1:43:40.639","Green","Track","1.756","0.503","4.049","26.787","20.426","15.492","8.831","11.075","131.936"
"16","GTD","Spencer Pumpelly","67","1:28.396","1:43:41.322","Green","Track","1.752","0.499","4.001","26.809","20.192","15.045","8.930","11.168","132.993"
"27","GTD","Lawrence DeGeorge","55","1:59.959","1:43:44.713","Green","Track","2.492","0.000","0.000","34.633","24.257","19.220","10.844","11.935","0.000"
"73","GTD","Jorg Bergmeister","67","1:28.241","1:43:46.420","Green","Track","1.740","0.498","4.069","26.649","20.325","15.086","8.865","11.009","133.260"
"52","PC","Tom Kimber-Smith","70","1:23.333","1:43:49.058","Green","Track","1.644","0.472","3.860","24.629","18.979","14.838","8.441","10.470","140.601"
"540","GTD","Nicky Catsburg","43","1:28.345","1:43:50.376","Green","Track","1.748","0.499","4.040","26.416","20.322","15.023","9.312","10.985","132.993"
