"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"911","GTLM","Patrick Pilet","9","1:25.135","13:35.531","Green","Track","1.752","0.500","4.055","25.620","19.505","14.544","8.547","10.612","132.727"
"912","GTLM","Frederic Makowiecki","9","1:24.985","13:36.808","Green","Track","1.745","0.494","3.969","25.468","19.554","14.603","8.505","10.647","134.339"
"55","P","Jonathan Bomarito","7","1:19.010","13:41.830","Green","Track","1.600","0.459","3.786","23.874","18.118","13.500","7.590","10.083","144.583"
"68","GTLM","Daniel Serra","8","1:23.449","13:51.564","Green","Track","1.744","0.493","3.978","25.061","19.301","14.162","8.191","10.519","134.612"
"3","GTLM","Jan Magnussen","8","1:32.709","13:59.874","Green","Track","2.407","0.000","0.000","26.512","20.111","14.774","8.568","10.889","0.000"
"0","P","Katherine Legge","6","1:21.921","14:02.457","Green","Track","1.574","0.451","3.819","24.918","18.795","14.105","8.184","10.075","147.148"
"10","P","Jordan Taylor","9","1:19.710","14:09.985","Green","Track","1.619","0.464","3.703","24.027","18.095","13.616","7.999","10.187","143.025"
"25","GTLM","Bill Auberlen","8","1:25.549","14:28.008","Green","Track","1.746","0.494","3.969","25.631","19.867","14.522","8.417","10.903","134.339"
"60","P","Oswaldo Negri","8","1:19.955","14:36.782","Green","Track","1.613","0.463","3.830","24.156","18.158","13.740","7.828","10.167","143.334"
"90","P","Marc Goossens","10","1:21.113","14:41.854","Green","Track","1.621","0.467","3.777","24.451","18.676","13.811","8.022","10.288","142.106"
"100","GTLM","John Edwards","8","1:25.082","14:53.441","Green","Track","1.748","0.495","4.092","25.562","19.598","14.537","8.353","10.697","134.068"
"911","GTLM","Patrick Pilet","10","1:25.036","15:00.567","Green","Track","1.747","0.497","4.020","25.522","19.540","14.498","8.558","10.654","133.528"
"912","GTLM","Frederic Makowiecki","10","1:25.610","15:02.418","Green","Track","1.741","0.497","3.947","25.566","19.944","14.606","8.550","10.759","133.528"
"4","GTLM","Oliver Gavin","7","6:06.448","15:12.772","Green","Pit","1.753","0.498","4.010","25.441","19.422","14.252","10.149","290.923","133.260"
"68","GTLM","Daniel Serra","9","1:23.121","15:14.685","Green","Track","1.749","0.494","3.971","24.963","19.077","14.130","8.196","10.541","134.339"
"0","P","Katherine Legge","7","1:22.662","15:25.119","Green","Track","1.568","0.447","3.733","24.631","19.147","14.438","8.502","10.196","148.465"
"3","GTLM","Jan Magnussen","9","1:26.915","15:26.789","Green","Track","1.748","0.497","3.995","25.972","20.094","15.019","8.656","10.934","133.528"
"67","GTLM","Ryan Briscoe","6","7:52.400","15:54.519","Green","Pit","1.746","0.498","4.042","25.526","20.045","16.044","10.595","393.904","133.260"
"60","P","Oswaldo Negri","9","1:20.082","15:56.864","Green","Track","1.612","0.462","3.822","24.070","17.976","13.903","8.032","10.205","143.644"
"25","GTLM","Bill Auberlen","9","1:30.294","15:58.302","Green","Track","1.756","0.496","3.935","29.107","20.098","15.103","9.009","10.790","133.798"
"100","GTLM","John Edwards","9","1:24.472","16:17.913","Green","Track","1.743","0.493","4.024","25.516","19.380","14.305","8.304","10.707","134.612"
"911","GTLM","Patrick Pilet","11","1:25.179","16:25.746","Green","Track","1.748","0.498","4.046","25.680","19.618","14.422","8.517","10.650","133.260"
"912","GTLM","Frederic Makowiecki","11","1:25.000","16:27.418","Green","Track","1.747","0.495","4.010","25.382","19.543","14.563","8.524","10.736","134.068"
"70","P","Tom Long","9","5:08.082","16:30.503","Green","Pit","1.590","0.458","3.710","24.106","18.551","14.597","10.404","234.666","144.899"
"68","GTLM","Daniel Serra","10","1:23.853","16:38.538","Green","Track","1.749","0.493","3.969","25.068","19.362","14.336","8.249","10.627","134.612"
"4","GTLM","Oliver Gavin","8","1:31.609","16:44.381","Green","Track","2.407","0.000","0.000","26.557","19.865","14.460","8.395","10.730","0.000"
"0","P","Katherine Legge","8","1:21.108","16:46.227","Green","Track","1.562","0.449","3.723","24.634","18.424","14.072","8.203","10.041","147.803"
"3","GTLM","Jan Magnussen","10","1:26.216","16:53.005","Green","Track","1.741","0.496","3.971","25.822","19.903","14.706","8.518","11.059","133.798"
"60","P","Oswaldo Negri","10","1:19.398","17:16.262","Green","Track","1.614","0.464","3.826","23.972","18.015","13.622","7.771","10.114","143.025"
"25","GTLM","Bill Auberlen","10","1:24.398","17:22.700","Green","Track","1.734","0.491","3.979","25.443","19.436","14.301","8.405","10.609","135.160"
"67","GTLM","Ryan Briscoe","7","1:33.217","17:27.736","Green","Track","2.390","0.000","0.000","26.864","20.229","14.556","8.534","10.694","0.000"
"100","GTLM","John Edwards","10","1:23.990","17:41.903","Green","Track","1.734","0.492","3.947","25.147","19.323","14.286","8.359","10.702","134.885"
"911","GTLM","Patrick Pilet","12","1:24.767","17:50.513","Green","Track","1.748","0.498","4.032","25.437","19.583","14.281","8.586","10.602","133.260"
"912","GTLM","Frederic Makowiecki","12","1:24.743","17:52.161","Green","Track","1.747","0.495","3.994","25.306","19.538","14.451","8.543","10.669","134.068"
"70","P","Tom Long","10","1:27.767","17:58.270","Green","Track","2.446","3.392","5.772","25.561","18.731","13.976","7.943","9.946","19.565"
"4","GTLM","Oliver Gavin","9","1:24.713","18:09.094","Green","Track","1.755","0.503","4.025","25.608","19.543","14.174","8.429","10.676","131.936"
"3","GTLM","Jan Magnussen","11","1:25.978","18:18.983","Green","Track","1.747","0.497","3.962","25.856","19.851","14.619","8.478","10.968","133.528"
"55","P","Jonathan Bomarito","8","4:47.772","18:29.602","Green","Pit","1.595","0.460","3.748","23.580","18.002","14.278","9.145","216.964","144.269"
"25","GTLM","Bill Auberlen","11","1:24.393","18:47.093","Green","Track","1.731","0.491","3.948","25.356","19.397","14.463","8.308","10.699","135.160"
"62","GTLM","Giancarlo Fisichella","10","5:23.286","18:54.119","Green","Pit","1.736","0.496","3.968","25.515","19.582","14.736","9.712","247.541","133.798"
"67","GTLM","Ryan Briscoe","8","1:27.632","18:55.368","Green","Track","1.749","0.496","3.968","26.717","20.625","14.851","8.464","10.762","133.798"
"100","GTLM","John Edwards","11","1:24.314","19:06.217","Green","Track","1.733","0.492","3.950","25.266","19.328","14.447","8.346","10.752","134.885"
"5","P","Christian Fittipaldi","8","7:55.264","19:13.111","Green","Pit","1.606","0.466","3.723","24.101","19.065","14.070","9.642","402.591","142.411"
"911","GTLM","Patrick Pilet","13","1:25.136","19:15.649","Green","Track","1.749","0.499","4.008","25.516","19.560","14.570","8.615","10.619","132.993"
"912","GTLM","Frederic Makowiecki","13","1:24.969","19:17.130","Green","Track","1.742","0.494","3.962","25.317","19.717","14.550","8.517","10.670","134.339"
"70","P","Tom Long","11","1:19.873","19:18.143","Green","Track","1.588","0.458","3.792","23.707","18.311","14.073","7.853","10.091","144.899"
"4","GTLM","Oliver Gavin","10","1:25.417","19:34.511","Green","Track","1.748","0.505","3.955","25.783","19.601","14.652","8.466","10.707","131.413"
