"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"67","GTLM","Ryan Briscoe","10","4:36.112","20:28.532","Green","Pit","20.961","15.943","12.976","15.745","11.112","0.506","24.928","173.065","0.876","161.696"
"33","GTD","Ben Keating","10","1:45.609","20:33.216","Green","Track","21.757","16.087","12.590","15.331","11.001","0.506","22.779","5.339","0.219","161.696"
"96","GTD","Bret Curtis","10","1:47.163","20:41.574","Green","Track","21.906","16.328","12.733","15.771","11.184","0.512","23.072","5.435","0.222","159.801"
"48","GTD","Bryan Sellers","9","1:44.060","20:59.714","Green","Track","21.313","15.618","12.685","15.189","11.050","0.504","22.117","5.365","0.219","162.338"
"3","GTLM","Jan Magnussen","10","1:42.254","21:03.406","Green","Track","21.109","15.258","12.223","14.829","11.024","0.506","21.764","5.322","0.219","161.696"
"66","GTLM","Dirk Mueller","9","1:48.141","21:33.794","Green","Track","25.192","15.838","12.745","15.432","11.166","0.511","21.691","5.348","0.218","160.114"
"911","GTLM","Nick Tandy","10","1:42.708","21:38.094","Green","Track","21.295","15.233","12.290","14.893","11.115","0.510","21.810","5.343","0.219","160.428"
"100","GTLM","Lucas Luhr","11","1:50.351","21:41.444","Green","Track","27.515","16.042","12.512","15.109","11.077","0.507","22.033","5.336","0.220","161.377"
"912","GTLM","Frederic Makowiecki","9","1:53.545","21:46.392","Green","Track","27.542","16.213","13.191","16.741","11.147","0.511","22.628","5.353","0.219","160.114"
"27","GTD","Cedric Sbirrazzuoli","9","6:18.700","21:49.873","Green","Pit","21.500","16.313","13.933","16.046","11.086","0.504","26.755","271.591","0.972","162.338"
"80","GTD","Dan Knox","11","1:47.684","21:51.159","Green","Track","22.343","16.301","12.918","15.684","11.075","0.510","23.257","5.376","0.220","160.428"
"44","GTD","Andy Lally","10","4:01.925","21:52.346","Green","Pit","28.249","17.951","14.510","17.658","12.556","0.540","28.147","121.390","0.924","151.515"
"62","GTLM","Toni Vilander","12","1:43.327","21:52.280","Green","Track","21.093","15.358","12.481","15.120","11.122","0.510","22.077","5.347","0.219","160.428"
"97","GTD","Michael Marsal","9","6:36.717","21:58.258","Green","Pit","21.691","15.992","12.775","15.407","11.157","0.512","82.743","235.486","0.954","159.801"
"25","GTLM","Dirk Werner","11","1:42.773","22:01.123","Green","Track","21.138","15.448","12.304","14.847","11.004","0.507","21.972","5.334","0.219","161.377"
"23","GTD","Mario Farnbacher","10","1:50.955","22:05.348","Green","Track","26.737","16.215","12.661","15.378","11.276","0.518","22.484","5.462","0.224","157.950"
"6","GTD","Robin Liddell","10","1:45.098","22:10.032","Green","Track","21.349","15.839","12.768","15.288","11.198","0.513","22.486","5.437","0.220","159.490"
"63","GTD","Christina Nielsen","10","1:46.315","22:12.354","Green","Track","22.106","16.397","12.700","15.356","11.121","0.511","22.489","5.414","0.221","160.114"
"67","GTLM","Richard Westbrook","11","1:50.607","22:19.139","Green","Track","25.930","16.230","13.137","15.587","11.099","0.511","22.531","5.366","0.216","160.114"
"96","GTD","Bret Curtis","11","1:47.108","22:28.682","Green","Track","21.865","16.351","12.759","15.707","11.204","0.512","23.012","5.475","0.223","159.801"
"3","GTLM","Jan Magnussen","11","1:41.697","22:45.103","Green","Track","20.926","15.189","12.168","14.758","10.924","0.503","21.688","5.321","0.220","162.660"
"66","GTLM","Dirk Mueller","10","1:42.418","23:16.212","Green","Track","21.077","15.220","12.383","14.996","11.128","0.513","21.530","5.353","0.218","159.490"
"911","GTLM","Nick Tandy","11","1:41.927","23:20.021","Green","Track","20.904","15.123","12.229","14.803","11.082","0.508","21.725","5.334","0.219","161.059"
"100","GTLM","Lucas Luhr","12","1:42.321","23:23.765","Green","Track","20.973","15.232","12.207","15.011","11.082","0.508","21.751","5.337","0.220","161.059"
"912","GTLM","Frederic Makowiecki","10","1:43.846","23:30.238","Green","Track","21.184","15.510","12.776","15.401","11.087","0.510","21.812","5.348","0.218","160.428"
"80","GTD","Dan Knox","12","1:48.238","23:39.397","Green","Track","22.155","16.518","13.013","15.972","11.112","0.511","23.338","5.398","0.221","160.114"
"44","GTD","John Potter","11","1:56.781","23:49.127","Green","Track","28.296","17.342","13.674","16.008","11.882","0.547","23.333","5.475","0.224","149.576"
