"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"98","GTD","Paul Dalla Lana","1","1:56.954","31:48.350","Green","Track","13.491","26.630","22.068","8.018","6.595","6.239","10.973","7.349","6.489","5.448","0.492","3.162","166.297"
"51","GTD","Marco Cioci","7","1:51.967","31:54.391","Green","Track","12.377","25.140","21.116","7.987","6.452","5.985","10.575","7.278","6.311","5.242","0.473","3.031","172.977"
"66","GTLM","Dirk Mueller","2","2:18.377","31:57.485","Green","Track","29.370","30.216","24.352","8.269","6.439","6.118","11.413","7.257","6.260","5.205","0.476","3.002","171.887"
"60","P","John Pew","2","1:51.034","31:59.975","Green","Track","13.674","25.255","21.707","7.230","5.916","5.755","10.830","6.640","5.825","4.909","0.447","2.846","183.038"
"540","GTD","Timothy Pappas","2","1:53.789","32:02.244","Green","Track","12.689","25.979","21.563","7.876","6.421","6.120","10.956","7.152","6.270","5.255","0.474","3.034","172.612"
"01","P","Stroll/Wurz/Hartley/Priaulx ","7","4:00.292","32:02.269","Green","Pit","29.581","27.854","22.979","7.537","6.077","6.545","11.235","6.881","6.061","10.096","0.000","0.000","0.000"
"26","PC","Ryan Eversley","12","1:48.719","32:03.837","Green","Track","11.525","24.255","20.586","7.657","6.360","5.956","10.285","6.953","6.265","5.300","0.481","3.096","170.100"
"90","P","Marc Goossens","6","2:18.844","32:06.586","Green","Track","29.437","32.749","24.545","7.659","6.052","6.131","11.204","6.830","5.965","4.952","0.449","2.871","182.223"
"6","GTD","Davis/Liddell/Aschenbach/ M.Bell","3","2:02.258","32:12.180","Green","Track","15.035","27.919","22.553","8.117","6.488","6.677","12.679","7.482","6.433","5.328","0.480","3.067","170.455"
"5","P","Filipe Albuquerque","11","1:43.907","32:16.188","Green","Track","11.475","23.700","19.887","7.205","5.878","5.498","9.845","6.502","5.775","4.882","0.442","2.818","185.109"
"72","GTLM","James Calado","3","14:11.996","32:31.764","Green","Track","289.673","27.780","21.856","7.872","6.402","6.023","11.037","7.101","6.266","5.279","0.480","3.065","170.455"
"23","GTD","Ian James","7","2:00.371","32:33.543","Green","Track","13.504","27.627","22.834","8.247","6.674","6.618","11.829","7.419","6.497","5.463","0.495","3.164","165.289"
"9","GTD","Said/Habul/Vautier/von Molke ","3","1:54.862","32:37.190","Green","Track","13.175","25.666","21.413","7.943","6.429","6.203","11.642","7.240","6.349","5.280","0.478","3.044","171.168"
"48","GTD","Bryce Miller","9","1:51.302","32:42.248","Green","Track","12.767","24.768","21.120","7.767","6.265","5.846","10.985","7.060","6.151","5.139","0.466","2.968","175.575"
"02","P","Jamie McMurray","6","2:00.074","32:49.332","Green","Track","12.352","25.804","21.848","7.577","6.119","5.777","18.829","7.133","6.094","5.116","0.466","2.959","175.575"
"007","GTD","Santiago Creel","6","2:49.734","32:52.003","Green","Track","33.825","37.979","25.637","8.880","6.958","6.697","23.203","9.237","7.435","5.934","0.528","3.421","154.959"
"31","P","Eric Curran","8","1:43.007","32:55.013","Green","Track","11.137","23.198","19.810","7.202","5.892","5.473","9.833","6.547","5.786","4.866","0.442","2.821","185.109"
"2","P","Johannes van Overbeek","4","1:46.761","33:11.865","Green","Track","11.587","23.953","20.482","7.192","5.876","5.857","11.146","6.611","5.859","4.892","0.446","2.860","183.449"
"54","PC","Colin Braun","1","20:55.443","33:11.836","Green","Pit","32.573","36.005","28.527","9.566","8.057","8.209","15.441","9.317","7.670","12.294","0.000","0.000","0.000"
"63","GTD","Alessandro Balzan","5","9:55.787","33:14.769","Green","Pit","12.673","29.136","24.950","8.174","6.456","6.320","12.021","7.281","6.335","11.040","0.000","0.000","0.000"
"0","P","Katherine Legge","4","2:14.155","33:31.950","Green","Pit","15.940","24.739","21.148","7.445","6.068","6.365","13.650","6.834","6.037","11.923","0.000","0.000","0.000"
"52","PC","Tom Kimber-Smith","6","2:23.106","33:32.286","Green","Track","31.902","32.291","24.171","7.994","6.374","6.533","11.748","7.063","6.221","5.262","0.479","3.068","170.810"
"88","PC","Sean Johnston","2","2:01.367","33:38.968","Green","Track","14.288","29.021","23.486","7.964","6.664","6.141","11.192","7.164","6.376","5.430","0.491","3.150","166.636"
"98","GTD","Paul Dalla Lana","2","1:53.691","33:42.041","Green","Track","12.632","25.590","21.395","8.004","6.559","6.122","10.635","7.249","6.443","5.413","0.491","3.158","166.636"
"51","GTD","Marco Cioci","8","1:51.149","33:45.540","Green","Track","12.206","25.027","20.997","7.963","6.425","5.899","10.410","7.205","6.280","5.237","0.472","3.028","173.344"
"60","P","John Pew","3","1:45.852","33:45.827","Green","Track","11.914","24.226","20.341","7.186","5.857","5.520","10.307","6.571","5.783","4.875","0.442","2.830","185.109"
"26","PC","Ryan Eversley","13","1:50.644","33:54.481","Green","Track","11.442","24.495","21.251","7.608","6.396","6.005","11.103","7.080","6.307","5.339","0.486","3.132","168.350"
"540","GTD","Timothy Pappas","3","1:52.538","33:54.782","Green","Track","12.165","24.940","21.385","7.819","6.583","6.454","11.097","7.131","6.242","5.220","0.472","3.030","173.344"
"90","P","Marc Goossens","7","1:48.520","33:55.106","Green","Track","12.742","24.426","20.855","7.321","5.958","5.875","10.546","6.700","5.902","4.900","0.445","2.850","183.861"
"66","GTLM","Dirk Mueller","3","1:59.207","33:56.692","Green","Track","13.772","27.114","22.083","7.980","6.576","6.929","12.164","7.488","6.370","5.230","0.475","3.026","172.249"
"912","GTLM","Earl Bamber","1","32:56.459","33:57.163","Green","Pit","32.456","36.394","27.932","9.242","6.796","6.821","14.607","8.235","6.688","11.326","0.000","0.000","0.000"
"5","P","Filipe Albuquerque","12","1:41.485","33:57.673","Green","Track","10.947","22.843","19.418","7.175","5.865","5.464","9.481","6.448","5.759","4.842","0.436","2.807","187.656"
"38","PC","James French","1","15:11.557","33:57.739","Green","Pit","42.551","29.088","23.531","7.931","6.433","6.249","11.731","7.130","6.355","10.148","0.000","0.000","0.000"
"25","GTLM","Auberlen/Werner/Farfus/ Spengler","4","2:20.893","34:02.022","Green","Track","16.267","31.263","24.742","10.130","8.361","7.877","13.043","9.237","8.161","7.012","0.648","4.152","126.263"
"6","GTD","Davis/Liddell/Aschenbach/ M.Bell","4","1:57.434","34:09.614","Green","Track","13.273","26.249","22.170","8.066","6.458","6.413","12.146","7.429","6.397","5.297","0.479","3.057","170.810"
"100","GTLM","Luhr/J.Edwards/Wittmer/Rahal ","8","14:41.322","34:17.983","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"72","GTLM","James Calado","4","1:51.384","34:23.148","Green","Track","12.919","24.952","20.755","7.856","6.377","5.956","10.391","7.112","6.269","5.258","0.478","3.061","171.168"
"9","GTD","Said/Habul/Vautier/von Molke ","4","1:51.612","34:28.802","Green","Track","12.513","24.895","20.809","7.926","6.407","6.028","10.801","7.135","6.350","5.242","0.475","3.031","172.249"
"23","GTD","Ian James","8","1:55.715","34:29.258","Green","Track","12.862","26.262","21.491","8.128","6.610","6.298","11.038","7.357","6.499","5.491","0.498","3.181","164.294"
"48","GTD","Bryce Miller","10","1:50.955","34:33.203","Green","Track","12.208","25.621","20.828","7.732","6.265","5.785","10.768","7.037","6.157","5.131","0.465","2.958","175.953"
